Date,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2026-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2026-03-01,1751.47,2.50,0.57,164.08,268.26,670.73,0.77,1.40,14.21,3.05,1.41,3.36,269.58,1728.08,231.07,52.03,11.81,53.60,1247.23,0.71,8.01,165.39,2.10,1192.01,1967.89,56.11,3130.69,9.60,106.98,123.50,15.83,7.00,2.78,31.62,53.55,13.43,85.95,291.72,27.52,6.12,43.08,1.32,0.95,0.91,0.02,0.01,4.41,0.08,4.33,2.25,3.36,5.97,11.45,10.69,2.85,5.10,122.59,5.09,1.85,4.63,6.34,true
2026-03-02,1471.97,0.00,0.00,134.54,305.18,181.10,0.87,0.93,19.24,2.67,1.48,11.83,347.28,545.72,4.60,247.26,5.87,8.83,179.42,1.00,7.80,166.28,2.53,716.33,1618.93,59.20,2515.55,5.23,89.66,106.18,16.41,13.51,0.82,17.09,34.00,0.00,60.55,80.75,17.02,7.88,18.63,0.05,1.84,0.35,0.93,0.29,5.98,0.19,5.79,2.65,3.00,6.05,12.15,10.65,2.86,4.83,136.58,5.73,1.93,4.11,6.01,true
2026-03-03,1823.58,0.00,0.00,15.12,36.97,1028.63,0.32,0.42,4.98,0.63,0.33,2.84,393.76,103.67,1.30,49.22,0.81,6.55,414.45,0.14,3.33,41.73,0.27,422.03,396.58,34.29,2586.74,6.02,114.72,118.97,4.21,0.75,0.26,15.82,43.93,5.70,75.81,165.01,10.58,1.70,28.80,1.17,0.35,0.35,0.00,0.00,1.07,0.02,1.05,3.13,3.11,6.61,13.56,11.92,2.95,4.90,154.96,5.94,2.30,4.38,6.28,true
2026-03-04,1871.02,0.00,0.00,106.98,249.70,511.19,0.67,1.37,35.34,4.46,3.04,7.91,127.20,610.17,122.12,40.00,5.59,34.10,188.44,0.80,11.24,186.37,1.12,1216.21,2585.17,78.57,895.84,18.32,94.41,103.98,9.32,6.43,2.73,28.85,20.74,0.00,95.84,326.52,32.36,10.21,39.98,4.63,1.17,0.46,0.00,0.01,7.88,0.11,6.42,1.62,3.51,5.13,9.77,9.82,2.66,4.39,158.25,5.09,1.43,3.95,5.33,true
2026-03-05,1417.41,1.11,0.00,93.71,460.62,204.20,0.50,0.37,11.53,1.06,0.48,0.00,261.57,105.76,73.19,0.00,3.59,4.96,59.25,0.46,3.23,142.51,1.56,319.20,682.90,46.02,1107.76,2.57,100.80,113.09,12.11,6.00,1.37,38.78,28.16,10.38,60.35,0.00,15.27,5.67,14.53,0.01,0.16,0.16,0.00,0.00,5.52,0.01,5.50,2.37,2.07,4.67,9.75,7.72,1.87,3.79,108.12,4.24,1.68,3.04,4.37,true
2026-03-06,1597.31,0.00,20.25,191.46,291.27,245.99,0.93,1.46,35.01,5.60,2.76,7.39,217.91,135.16,46.45,805.18,13.69,70.22,161.27,1.13,5.72,214.36,1.33,941.92,2130.42,127.59,1433.36,4.47,66.17,75.80,9.49,5.34,1.15,16.41,16.84,0.00,72.84,195.10,21.67,17.33,18.14,0.23,6.84,1.48,3.31,0.95,10.40,0.82,9.58,2.35,3.49,6.49,12.22,11.69,3.33,5.35,159.45,5.96,1.92,4.55,6.62,true
2026-03-07,1853.45,3.30,0.00,66.70,777.38,337.78,0.53,0.94,20.53,4.19,1.47,1.47,185.32,331.28,101.18,92.25,6.45,120.08,325.68,0.59,5.26,174.19,2.49,713.44,1413.48,71.84,2285.47,5.17,113.63,135.49,21.71,14.49,3.10,31.89,23.53,0.94,68.52,462.25,16.57,7.26,22.24,0.11,0.47,0.37,0.07,0.02,6.63,0.24,6.37,3.69,3.67,8.01,15.27,13.47,3.65,6.08,181.98,7.05,2.61,5.08,7.48,true
2026-03-08,1856.20,0.00,0.00,85.79,360.44,492.34,1.02,1.35,27.89,4.98,2.11,3.18,292.27,156.23,116.48,315.53,9.34,153.88,419.50,0.90,6.76,200.18,2.00,894.19,2162.51,85.60,1578.60,6.34,98.18,118.11,18.05,12.82,3.98,40.15,37.37,12.07,77.69,212.89,25.39,15.53,22.99,0.24,2.93,1.32,0.99,0.29,12.34,0.36,11.97,3.68,4.21,8.47,16.33,14.88,3.94,6.49,172.19,7.65,2.76,5.59,8.16,true
2026-03-09,2108.67,0.00,0.00,116.34,1312.03,282.70,1.38,0.96,31.99,3.16,1.44,3.48,220.10,328.28,3.99,99.57,5.80,17.36,912.51,0.71,9.50,237.48,4.08,1099.79,1214.09,91.24,3538.54,7.18,190.34,211.84,21.46,17.34,2.88,118.45,25.89,3.85,60.84,162.71,16.42,10.42,23.74,0.70,1.07,0.65,0.26,0.09,9.02,0.13,8.89,3.90,4.39,9.01,17.08,14.73,4.15,7.09,184.17,7.87,2.97,5.87,8.58,true
2026-03-10,1407.35,2.50,0.00,55.86,367.63,442.19,0.26,0.53,24.18,2.59,1.31,0.49,97.35,121.40,81.93,7.31,3.20,177.61,300.70,0.48,3.28,126.42,0.85,513.91,1186.95,44.47,929.77,3.18,100.87,133.65,30.13,8.63,2.80,1.81,66.14,0.00,45.21,119.00,10.60,4.77,13.19,0.13,0.18,0.10,0.04,0.01,4.43,0.12,4.32,2.06,2.61,5.22,9.33,8.76,2.40,3.94,129.13,4.52,1.57,3.37,4.90,false
2026-03-11,1760.87,50.34,0.00,111.08,319.69,418.28,0.59,1.01,18.37,3.15,1.30,6.77,197.49,392.40,20.46,241.71,7.08,20.89,580.51,0.92,7.75,208.30,3.22,747.19,1871.52,54.59,2599.49,5.51,59.38,92.68,32.98,13.52,1.41,27.77,16.85,1.37,53.85,75.99,19.61,7.94,15.63,0.33,1.99,0.41,0.96,0.29,5.77,0.25,5.51,3.20,3.32,7.32,14.71,12.29,3.21,5.70,159.47,6.77,2.43,4.86,7.18,false
2026-03-12,2175.49,39.68,0.00,77.72,317.43,1006.40,0.79,1.10,11.56,1.50,0.52,1.82,294.71,264.89,5.61,16.51,3.85,12.46,836.66,0.50,6.69,144.56,2.23,876.07,938.73,44.38,2905.71,6.03,117.51,126.45,8.78,5.07,1.98,70.36,17.26,1.79,82.53,70.27,15.61,6.86,35.43,1.34,0.36,0.34,0.00,0.01,5.86,0.01,5.85,3.21,3.07,7.14,14.26,11.07,3.04,5.58,166.17,6.40,2.71,4.96,6.86,false
2026-03-13,1272.58,0.00,0.00,44.80,143.36,0.58,0.05,0.06,4.59,0.32,0.15,0.00,31.04,0.00,0.00,0.00,1.58,0.00,18.56,0.14,0.51,56.96,0.57,116.16,202.88,2.98,1093.92,0.89,53.96,62.44,8.44,2.69,0.14,1.40,13.59,0.00,58.47,0.00,8.38,3.13,22.29,0.01,0.01,0.01,0.00,0.00,3.11,0.01,3.10,2.86,2.23,5.43,11.41,9.63,2.25,3.87,129.39,4.94,1.99,3.43,4.88,false
2026-03-14,1801.41,0.00,0.00,134.40,430.09,1.74,0.15,0.19,13.78,0.97,0.45,0.00,93.12,0.00,0.00,0.00,4.73,0.00,55.68,0.41,1.52,170.88,1.71,348.49,608.65,8.93,1257.76,2.66,21.75,31.55,9.66,8.06,0.42,4.21,12.68,0.00,114.65,0.00,25.13,9.38,48.53,0.03,0.02,0.02,0.00,0.00,9.32,0.02,9.31,3.05,2.62,5.96,12.39,10.18,2.44,4.66,172.18,5.46,2.14,4.04,5.51,false
2026-03-15,973.81,0.00,0.00,16.15,108.66,223.97,0.13,0.56,0.80,1.68,0.31,1.11,56.11,153.14,11.13,87.00,2.13,15.75,62.61,0.12,1.67,28.31,0.16,213.01,472.67,33.93,677.69,1.25,44.35,50.74,5.28,2.89,1.18,7.57,24.39,0.00,33.42,373.00,5.52,5.25,14.51,0.03,0.52,0.47,0.04,0.01,4.68,0.15,4.52,3.06,2.36,5.89,12.06,10.33,2.57,4.20,118.15,5.33,2.09,3.66,5.39,false
2026-03-16,1514.22,0.00,0.00,89.60,286.73,1.16,0.10,0.13,9.19,0.65,0.30,0.00,62.08,0.00,0.00,0.00,3.16,0.00,37.12,0.27,1.01,113.92,1.14,232.33,405.77,5.95,2212.24,1.77,85.72,92.19,6.38,5.38,0.28,2.81,15.44,0.00,81.35,0.00,16.76,6.25,24.96,0.02,0.02,0.02,0.00,0.00,6.21,0.01,6.20,1.57,1.40,3.11,6.44,5.22,1.27,2.53,107.93,2.86,1.11,2.18,2.92,false
2026-03-17,1615.62,24.03,0.00,109.55,1148.14,570.34,0.55,0.61,15.05,1.75,0.82,3.63,87.13,181.01,0.00,15.05,3.21,12.37,771.54,0.64,6.30,211.33,3.65,876.57,991.35,64.93,1829.67,13.23,78.85,97.98,19.08,16.94,1.68,54.06,8.33,1.60,70.51,159.97,22.73,7.94,28.12,1.57,0.42,0.41,0.00,0.01,7.13,0.06,7.06,2.10,2.81,5.23,10.15,8.36,2.45,4.49,118.80,4.66,1.63,3.64,5.34,false
2026-03-18,1188.63,0.00,0.00,15.01,38.30,137.07,0.15,0.38,1.37,1.40,0.52,1.38,49.41,150.52,12.54,57.52,1.32,10.19,47.08,0.15,1.34,28.02,0.30,156.42,375.46,21.18,2056.57,0.99,61.43,68.62,7.16,2.63,0.98,13.37,10.92,0.00,56.77,246.60,3.37,2.68,26.28,0.00,0.26,0.23,0.03,0.00,2.35,0.10,2.25,0.22,0.24,0.52,0.81,0.69,0.29,0.52,102.96,0.47,0.13,0.40,0.60,false
