"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cat Cow Stretch",,"",0,"normal",,,,65,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Child Pose Side Stretch",,"",0,"normal",,,,33,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Child Pose Side Stretch",,"",1,"normal",,,,31,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Glute Kickback on Floor",,"",0,"normal",,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Glute Kickback on Floor",,"",1,"normal",,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Flexor Stretch",,"",0,"normal",,,,31,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Flexor Stretch",,"",1,"normal",,,,31,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Wide Leg Stretch",,"",0,"normal",,,,62,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Glute Bridge",0,"",0,"normal",,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Glute Bridge",0,"",1,"normal",,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Plank",0,"",0,"normal",,,,62,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Plank",0,"",1,"normal",,,,63,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Rear Delt Reverse Fly (Machine)",0,"",0,"normal",30,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Rear Delt Reverse Fly (Machine)",0,"",1,"normal",30,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Kettlebell Single-Leg Deadlift",0,"",0,"normal",10,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Kettlebell Single-Leg Deadlift",0,"",1,"normal",10,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Kettlebell Swing",0,"",0,"normal",10,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Kettlebell Swing",0,"",1,"normal",10,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",0,"normal",20,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",1,"normal",60,4,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",2,"normal",80,4,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",3,"normal",110,6,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",4,"normal",110,6,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",5,"normal",110,6,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Deadlift (Barbell)",,"No problem today . Felt really good",6,"normal",110,6,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lat Pulldown (Cable)",,"Struggled on the last set and rested",0,"normal",70,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lat Pulldown (Cable)",,"Struggled on the last set and rested",1,"normal",70,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lat Pulldown (Cable)",,"Struggled on the last set and rested",2,"normal",70,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lat Pulldown (Cable)",,"Struggled on the last set and rested",3,"normal",70,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lateral Lunge",1,"Better",0,"normal",,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lateral Lunge",1,"Better",1,"normal",,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Lateral Lunge",1,"Better",2,"normal",,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Seated Cable Row - Bar Grip",1,"Started too much weight and had to reduce",0,"normal",64,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Seated Cable Row - Bar Grip",1,"Started too much weight and had to reduce",1,"normal",57,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Seated Cable Row - Bar Grip",1,"Started too much weight and had to reduce",2,"normal",57,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Thrust (Smith Machine)",2,"A bit easy. Go up on weight next time",0,"normal",50,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Thrust (Smith Machine)",2,"A bit easy. Go up on weight next time",1,"normal",50,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Thrust (Smith Machine)",2,"A bit easy. Go up on weight next time",2,"normal",50,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Upright Row (Barbell)",2,"Seems easy . Ask If should go up",0,"normal",20,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Upright Row (Barbell)",2,"Seems easy . Ask If should go up",1,"normal",20,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Upright Row (Barbell)",2,"Seems easy . Ask If should go up",2,"normal",20,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Hip Abduction",3,"Went up on weight and seemed fine",0,"normal",18,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Hip Abduction",3,"Went up on weight and seemed fine",1,"normal",18,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Hip Abduction",3,"Went up on weight and seemed fine",2,"normal",18,10,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Bicep Curl (Dumbbell)",3,"I was not doing good form with 15kg and my balance was off. I reduce the weight to 12.5. Seems better but need to practice",0,"normal",15,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Bicep Curl (Dumbbell)",3,"I was not doing good form with 15kg and my balance was off. I reduce the weight to 12.5. Seems better but need to practice",1,"normal",12.5,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Bicep Curl (Dumbbell)",3,"I was not doing good form with 15kg and my balance was off. I reduce the weight to 12.5. Seems better but need to practice",2,"normal",12.5,8,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Adduction (Machine)",4,"",0,"normal",61,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Adduction (Machine)",4,"",1,"normal",61,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Hip Adduction (Machine)",4,"",2,"normal",61,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Crunch",4,"Just right",0,"normal",73,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Crunch",4,"Just right",1,"normal",73,12,,,
"Day 2","19 Mar 2026, 09:09","19 Mar 2026, 10:55","","Cable Crunch",4,"Just right",2,"normal",73,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hip Flexor Stretch",,"",0,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hip Flexor Stretch",,"",1,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hamstring Stretch",,"",0,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hamstring Stretch",,"",1,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cat Cow Stretch",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Chest Stretch",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Deep Squat",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cable External Rotation",,"",0,"normal",9,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cable External Rotation",,"",1,"normal",9,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Plank",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Lunge",,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Jump Squat",,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Push Up",,"",0,"normal",,5,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",0,"normal",20,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",1,"normal",60,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",2,"normal",80,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",3,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",4,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",5,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",6,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",0,"normal",20,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",1,"normal",40,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",2,"normal",60,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",3,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",4,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",5,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",6,"normal",70,6,,,
