type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-08-04T17:38:50.145+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-08-04T17:38:50.347+00:00,null
CALORIES_BURNED_GOAL,DAILY,3199.0,213.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-24,2026-02-25,2020-09-04T18:50:56.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-24,2026-02-25,2020-09-04T18:50:56.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-06-02,2023-06-03,2020-09-04T18:50:56.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-24,2026-02-25,2020-09-04T18:50:56.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-24,2026-02-25,2020-09-04T18:50:56.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,1778.0,INPROGRESS_SO_FAR_MISSED,true,2026-02-22,2026-03-01,2020-09-04T18:50:56.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.829064,INPROGRESS_SO_FAR_MISSED,false,2026-02-22,2026-03-01,2020-09-04T18:50:56.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,77.0,COMPLETED_ACHIEVED,false,2023-05-28,2023-06-04,2020-09-04T18:50:56.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,22393.0,546.0,INPROGRESS_SO_FAR_MISSED,false,2026-02-22,2026-03-01,2020-09-04T18:50:56.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2020-08-29,2020-09-05,2020-09-04T18:50:56.000+00:00,null
BODY_FAT_GOAL,DAILY,15.0,24.5,INPROGRESS_SO_FAR_MISSED,false,2021-04-23,2021-04-24,2021-04-24T10:12:07.000+00:00,null
WEIGHT_GOAL,MONTHLY,185.0,258.91,NEW,false,null,null,2021-04-24T21:59:59.000+00:00,2021-04-24T10:12:06.000+00:00
