date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2023-07-01,79.0,HIGH,79.0,96.0,78.0,LOW,HIGH,HIGH
2023-06-30,70.0,HIGH,70.0,91.0,44.0,LOW,HIGH,MEDIUM
2023-06-29,79.0,HIGH,79.0,97.0,40.0,LOW,HIGH,MEDIUM
2023-06-28,97.0,HIGH,97.0,95.0,65.0,LOW,HIGH,MEDIUM
2023-06-27,96.0,HIGH,96.0,91.0,49.0,LOW,HIGH,MEDIUM
2023-06-26,98.0,HIGH,98.0,89.0,43.0,LOW,HIGH,MEDIUM
2023-06-25,95.0,HIGH,95.0,64.0,36.0,LOW,MEDIUM,MEDIUM
2023-06-24,100.0,HIGH,100.0,81.0,59.0,LOW,HIGH,MEDIUM
2023-06-23,100.0,HIGH,100.0,78.0,60.0,LOW,HIGH,MEDIUM
2023-06-22,100.0,HIGH,100.0,87.0,61.0,LOW,HIGH,MEDIUM
2023-06-21,99.0,HIGH,99.0,91.0,38.0,LOW,HIGH,MEDIUM
2023-06-19,92.0,HIGH,92.0,88.0,39.0,LOW,HIGH,MEDIUM
2023-06-18,100.0,HIGH,100.0,89.0,40.0,LOW,HIGH,MEDIUM
2023-06-17,94.0,HIGH,94.0,79.0,55.0,LOW,HIGH,MEDIUM
2023-06-16,63.0,MEDIUM,63.0,69.0,41.0,MEDIUM,MEDIUM,MEDIUM
2023-06-15,78.0,HIGH,78.0,86.0,34.0,LOW,HIGH,MEDIUM
2023-06-14,15.0,LOW,15.0,87.0,50.0,HIGH,HIGH,MEDIUM
2023-06-13,31.0,MEDIUM,31.0,83.0,43.0,MEDIUM,HIGH,MEDIUM
2023-06-12,73.0,HIGH,73.0,97.0,35.0,LOW,HIGH,MEDIUM
2023-06-11,54.0,MEDIUM,54.0,88.0,51.0,MEDIUM,HIGH,MEDIUM
2023-06-10,1.0,LOW,0.0,92.0,37.0,HIGH,HIGH,MEDIUM
2023-06-09,1.0,LOW,0.0,65.0,45.0,HIGH,MEDIUM,MEDIUM
2023-06-08,42.0,MEDIUM,42.0,96.0,49.0,MEDIUM,HIGH,MEDIUM
2023-06-07,3.0,LOW,3.0,81.0,39.0,HIGH,HIGH,MEDIUM
