value_time,setting_name,setting_value
2025-10-09 16:10:17+0000,inactivity alerts days,"monday, tuesday, wednesday, thursday, friday, saturday, sunday"
2025-10-09 16:10:17+0000,sedentary alert times,"Start: 08:00:00.0, Duration: 14h"
2025-10-09 16:10:17+0000,stia update time,2020-09-04T20:04:13.0Z
2026-02-26 20:52:27+0000,activity state,sedentary
2026-02-26 20:52:27+0000,auto run enabled,true
2026-02-26 20:52:27+0000,auto stride enabled,true
2026-02-26 20:52:27+0000,body constitution,regular
2026-02-26 20:52:27+0000,is nursing,false
2026-02-26 20:52:27+0000,pregnant state,not pregnant
2026-02-26 20:52:27+0000,sleep proc algorithm,composite
2026-02-26 20:52:27+0000,stride length running,858
2026-02-26 20:52:27+0000,stride length walking,0
2026-02-27 23:07:09+0000,sedentary prune time,2026-02-28T00:00:00.0Z
2026-02-28 09:21:45+0000,hr scaling sleep rest,"[2026-02-28] Current: 0.88, [2026-02-27] Previous: 0.88"
