sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
1018174149515927592,STAGES,372,0,0,352,20,0,0,+00:00,2024-04-17 00:46:30+0000,+00:00,2024-04-17 06:59:00+0000,DERIVED,2024-04-17 11:25:00+0000,2024-04-17 11:25:08+0000
1047350095047495296,STAGES,472,0,0,467,5,0,0,+00:00,2023-10-03 22:57:00+0000,+00:00,2023-10-04 06:49:00+0000,DERIVED,2023-10-04 05:03:00+0000,2023-10-04 05:03:08+0000
1057761083279294792,STAGES,520,5,0,509,11,0,0,+00:00,2023-11-17 22:20:00+0000,+00:00,2023-11-18 07:05:30+0000,DERIVED,2023-11-18 06:06:00+0000,2023-11-18 06:06:36+0000
1067373259795770464,STAGES,214,0,0,197,17,0,0,+00:00,2023-11-24 05:49:00+0000,+00:00,2023-11-24 09:23:00+0000,DERIVED,2023-11-24 14:44:00+0000,2023-11-24 14:44:12+0000
1084035513624058960,STAGES,558,0,0,540,18,0,0,+00:00,2024-02-04 23:58:00+0000,+00:00,2024-02-05 09:16:30+0000,DERIVED,2024-02-05 08:17:00+0000,2024-02-05 08:17:36+0000
1135517974853199520,STAGES,336,0,0,332,4,0,0,+00:00,2023-09-06 03:21:00+0000,+00:00,2023-09-06 08:57:30+0000,DERIVED,2023-09-06 13:00:00+0000,2023-09-06 13:00:34+0000
1166818437547976240,STAGES,344,1,0,334,10,0,0,+00:00,2024-06-24 01:25:00+0000,+00:00,2024-06-24 07:10:30+0000,DERIVED,2024-06-24 05:30:00+0000,2024-06-24 05:30:08+0000
1177153280158635632,STAGES,488,0,0,474,14,0,0,+00:00,2024-08-06 01:12:00+0000,+00:00,2024-08-06 09:20:30+0000,DERIVED,2024-08-06 07:33:00+0000,2024-08-06 07:33:52+0000
1183296586977257096,STAGES,369,0,0,364,5,0,0,+00:00,2024-06-28 00:30:30+0000,+00:00,2024-06-28 06:40:00+0000,DERIVED,2024-06-28 05:25:00+0000,2024-06-28 05:25:43+0000
1198642865879747800,STAGES,520,0,0,503,17,0,0,+00:00,2024-01-19 00:21:00+0000,+00:00,2024-01-19 09:01:30+0000,DERIVED,2024-01-19 08:26:00+0000,2024-01-19 08:26:19+0000
1236861538534489712,STAGES,434,1,0,423,11,0,0,+00:00,2023-10-31 23:12:00+0000,+00:00,2023-11-01 06:27:00+0000,DERIVED,2023-11-01 05:59:00+0000,2023-11-01 05:59:25+0000
1269776056835720464,STAGES,327,0,0,322,5,0,0,+00:00,2024-03-15 23:57:30+0000,+00:00,2024-03-16 05:25:00+0000,DERIVED,2024-03-16 05:03:00+0000,2024-03-16 05:03:35+0000
1277313834921605400,STAGES,374,0,0,359,15,0,0,+00:00,2024-08-03 02:14:30+0000,+00:00,2024-08-03 08:29:00+0000,DERIVED,2024-08-03 06:53:00+0000,2024-08-03 06:53:14+0000
1281723977126985296,CLASSIC,85,0,0,79,6,0,0,+00:00,2024-02-09 16:46:00+0000,+00:00,2024-02-09 18:11:00+0000,DERIVED,2024-02-09 17:26:00+0000,2024-02-09 17:26:59+0000
1295720337504824288,STAGES,491,8,0,435,56,0,0,+00:00,2024-03-18 00:29:30+0000,+00:00,2024-03-18 08:48:30+0000,DERIVED,2024-03-18 05:54:00+0000,2024-03-18 08:10:42+0000
1319759865121063312,STAGES,517,0,0,498,19,0,0,+00:00,2024-02-01 23:52:30+0000,+00:00,2024-02-02 08:30:00+0000,DERIVED,2024-02-02 07:57:00+0000,2024-02-02 07:57:13+0000
1367753922473402112,STAGES,548,0,0,529,19,0,0,+00:00,2023-11-01 20:56:00+0000,+00:00,2023-11-02 06:04:30+0000,DERIVED,2023-11-02 05:05:00+0000,2023-11-02 05:05:41+0000
1367962217060758488,STAGES,508,0,0,493,15,0,0,+00:00,2023-09-29 23:10:00+0000,+00:00,2023-09-30 07:38:00+0000,DERIVED,2023-09-30 06:02:00+0000,2023-09-30 06:02:49+0000
1377946126792123992,STAGES,500,0,0,451,49,0,0,+00:00,2023-09-13 03:55:00+0000,+00:00,2023-09-13 12:15:30+0000,DERIVED,2023-09-13 08:29:00+0000,2023-09-13 10:50:22+0000
1408066635074187216,STAGES,493,0,0,449,44,0,0,+00:00,2024-04-06 22:37:00+0000,+00:00,2024-04-07 06:50:00+0000,DERIVED,2024-04-07 04:28:00+0000,2024-04-07 11:31:57+0000
1449492118298843448,CLASSIC,64,0,0,60,4,0,0,+00:00,2024-04-07 10:01:00+0000,+00:00,2024-04-07 11:05:30+0000,DERIVED,2024-04-07 15:25:00+0000,2024-04-07 15:25:15+0000
1453347060540580464,STAGES,487,0,0,472,15,0,0,+00:00,2023-12-03 00:21:30+0000,+00:00,2023-12-03 08:28:30+0000,DERIVED,2023-12-03 13:29:00+0000,2023-12-03 13:29:34+0000
1455959805744252896,STAGES,460,0,0,453,7,0,0,+00:00,2023-11-29 00:46:30+0000,+00:00,2023-11-29 08:26:30+0000,DERIVED,2023-11-29 13:27:00+0000,2023-11-29 13:27:52+0000
1494006229999756656,STAGES,418,0,0,411,7,0,0,+00:00,2023-10-21 01:05:30+0000,+00:00,2023-10-21 08:03:30+0000,DERIVED,2023-10-21 06:40:00+0000,2023-10-21 06:40:31+0000
149637964095599408,STAGES,555,0,0,545,10,0,0,+00:00,2023-11-04 22:32:00+0000,+00:00,2023-11-05 07:47:30+0000,DERIVED,2023-11-05 06:57:00+0000,2023-11-05 06:57:14+0000
1503605800340322328,STAGES,433,0,0,425,8,0,0,+00:00,2024-03-17 00:37:00+0000,+00:00,2024-03-17 07:50:30+0000,DERIVED,2024-03-17 07:05:00+0000,2024-03-17 07:05:49+0000
1507242821445396584,STAGES,457,0,0,438,19,0,0,+00:00,2023-12-21 22:46:00+0000,+00:00,2023-12-22 06:23:30+0000,DERIVED,2023-12-22 12:56:00+0000,2023-12-22 12:56:51+0000
1532327979624072896,STAGES,382,0,0,335,47,0,0,+00:00,2024-07-21 00:14:30+0000,+00:00,2024-07-21 06:37:00+0000,DERIVED,2024-07-21 06:01:00+0000,2024-07-21 06:02:00+0000
1555902125764072288,STAGES,481,0,0,472,9,0,0,+00:00,2024-04-20 22:28:00+0000,+00:00,2024-04-21 06:29:30+0000,DERIVED,2024-04-21 10:59:00+0000,2024-04-21 10:59:27+0000
1596561870022191984,STAGES,539,1,0,502,37,0,0,+00:00,2023-10-22 00:18:30+0000,+00:00,2023-10-22 09:19:00+0000,DERIVED,2023-10-22 05:24:00+0000,2023-10-22 07:56:44+0000
1643703172405463176,STAGES,459,9,0,438,21,0,0,+00:00,2023-11-05 23:18:00+0000,+00:00,2023-11-06 07:06:30+0000,DERIVED,2023-11-06 06:33:00+0000,2023-11-06 06:33:06+0000
1644215785757878192,STAGES,456,0,0,448,8,0,0,+00:00,2024-03-06 23:37:00+0000,+00:00,2024-03-07 07:13:30+0000,DERIVED,2024-03-07 06:36:00+0000,2024-03-07 06:36:11+0000
