timestamp,rmssd,coverage,low_frequency,high_frequency
2023-10-15T00:00:00,12.41,0.908,236.531,20.958
2023-10-15T00:05:00,10.726,0.966,269.697,20.053
2023-10-15T00:10:00,11.581,0.891,347.621,13.919
2023-10-15T00:15:00,10.011,0.984,172.003,14.467
2023-10-15T00:20:00,9.539,1.003,79.39,15.047
2023-10-15T00:25:00,11.804,1.003,184.679,16.764
2023-10-15T00:30:00,9.607,0.982,79.845,13.363
2023-10-15T00:35:00,10.492,1.003,166.001,19.455
2023-10-15T00:40:00,9.492,1.006,71.783,14.059
2023-10-15T00:45:00,14.849,0.854,604.416,31.051
2023-10-15T00:50:00,16.314,1.003,468.783,52.631
2023-10-15T00:55:00,17.442,0.866,956.451,39.312
2023-10-15T01:00:00,15.906,0.99,105.015,38.317
2023-10-15T01:05:00,15.748,0.958,104.169,60.263
2023-10-15T01:10:00,16.668,1.005,110.968,60.794
2023-10-15T01:15:00,16.71,0.991,105.37,58.391
2023-10-15T01:20:00,17.105,1.002,139.757,56.459
2023-10-15T01:25:00,18.799,0.997,88.753,79.89
2023-10-15T01:30:00,21.388,0.922,782.433,68.99
2023-10-15T01:35:00,19.627,0.963,196.614,73.667
2023-10-15T01:40:00,14.914,0.953,123.93,34.187
2023-10-15T01:45:00,11.801,0.981,244.505,18.735
2023-10-15T01:50:00,14.297,0.93,607.111,24.705
2023-10-15T01:55:00,12.016,0.966,315.809,19.342
2023-10-15T02:00:00,12.11,0.95,271.495,24.915
2023-10-15T02:05:00,13.651,1.003,177.218,22.776
2023-10-15T02:10:00,12.881,0.978,257.455,25.592
2023-10-15T02:15:00,13.484,0.967,355.121,19.584
2023-10-15T02:20:00,9.598,0.973,164.74,9.776
2023-10-15T02:25:00,12.739,1.002,195.067,21.851
2023-10-15T02:30:00,10.563,1.002,215.574,15.364
2023-10-15T02:35:00,11.695,1.003,105.962,19.928
2023-10-15T02:40:00,10.626,1.004,73.484,12.591
2023-10-15T02:45:00,12.923,0.942,165.712,24.906
2023-10-15T02:50:00,19.147,1.004,278.015,59.989
2023-10-15T02:55:00,16.738,1.002,325.271,50.683
2023-10-15T03:00:00,15.644,1.003,183.67,64.642
2023-10-15T03:05:00,21.223,0.863,653.791,67.274
2023-10-15T03:10:00,18.05,1.003,353.173,70.869
