timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-01-01T10:08:30,17.2,1.3,6.035,17.2,1.3,6.035,16.6,1.2,4.587,-1.0,0.0,1.613
2022-01-02T09:17:00,17.4,1.5,4.799,-1.0,0.0,1.875,17.4,1.5,4.799,-1.0,0.0,1.929
2022-01-03T08:20:30,16.8,1.2,8.744,16.8,1.2,8.744,16.4,1.5,9.25,-1.0,0.0,1.749
2022-01-04T11:51:30,16.6,1.0,8.172,16.6,1.0,8.172,16.6,1.3,12.926,10.8,2.2,4.927
2022-01-05T09:40:30,18.2,1.6,10.077,18.2,1.6,10.077,17.6,1.5,9.855,12.0,0.9,2.918
2022-01-06T08:56:30,18.2,1.1,6.058,18.2,1.1,6.058,-1.0,0.0,2.225,17.4,0.8,3.22
2022-01-07T09:20:30,18.0,1.3,7.37,18.0,1.3,7.37,17.0,1.9,7.054,-1.0,0.0,1.691
2022-01-08T07:03:30,18.2,1.2,9.67,18.2,1.2,9.67,18.0,1.6,4.526,-1.0,0.0,2.048
2022-01-09T09:22:30,17.2,1.4,8.499,17.2,1.4,8.499,16.8,2.3,7.02,11.4,0.6,2.989
2022-01-10T06:02:30,18.8,1.1,8.932,18.8,1.1,8.932,16.8,1.5,4.09,-1.0,0.0,1.655
2022-01-11T08:51:00,16.6,1.2,7.12,16.6,1.2,7.12,15.6,1.3,10.469,-1.0,0.0,2.178
2022-01-12T15:49:30,16.8,0.9,4.531,16.8,0.9,4.531,16.4,1.3,4.938,-1.0,0.0,2.481
2022-01-13T08:29:00,19.2,1.1,5.136,19.2,1.1,5.136,-1.0,0.0,1.623,-1.0,0.0,0.0
2022-01-14T10:39:00,19.4,0.6,5.838,19.4,0.6,5.838,16.8,1.2,6.076,-1.0,0.0,1.616
2022-01-14T18:47:00,15.6,1.5,7.403,15.6,1.5,7.403,17.2,2.1,12.806,-1.0,0.0,2.213
2022-01-15T17:19:00,18.0,0.9,5.919,18.0,0.9,5.919,16.2,0.9,6.516,-1.0,0.0,1.824
2022-01-16T16:44:30,17.0,1.6,4.657,-1.0,0.0,2.173,17.0,1.6,4.657,-1.0,0.0,2.203
2022-01-17T08:39:00,16.8,1.5,2.706,16.8,1.5,2.706,17.0,0.9,3.961,-1.0,0.0,1.695
2022-01-17T14:20:00,16.4,1.2,5.144,16.4,1.2,5.144,16.0,1.0,7.688,23.4,0.5,2.508
2022-01-18T05:40:00,17.6,0.7,4.468,17.6,0.7,4.468,-1.0,0.0,2.318,-1.0,0.0,1.72
2022-01-18T18:36:00,16.4,1.3,5.439,16.4,1.3,5.439,16.8,1.7,6.862,-1.0,0.0,2.118
2022-01-19T04:55:30,17.6,2.1,6.205,-1.0,0.0,0.0,17.6,2.1,6.205,-1.0,0.0,1.34
2022-01-20T03:20:30,17.0,0.9,7.201,18.0,1.2,3.078,17.0,0.9,7.201,-1.0,0.0,1.801
2022-01-20T04:42:30,17.0,1.0,8.589,18.0,1.2,3.083,17.0,1.0,8.589,-1.0,0.0,1.596
2022-01-21T05:57:30,16.2,1.3,10.659,16.2,1.3,10.659,16.4,1.7,9.723,10.8,1.7,3.92
2022-01-22T16:14:00,18.2,1.6,5.784,18.2,1.6,5.784,-1.0,0.0,2.447,-1.0,0.0,1.916
2022-01-23T19:56:30,18.0,1.1,6.999,18.0,1.1,6.999,16.8,1.7,5.515,-1.0,0.0,2.171
2022-01-24T08:25:00,17.4,1.2,5.689,17.4,1.2,5.689,-1.0,0.0,2.061,-1.0,0.0,0.0
2022-01-25T06:31:00,18.2,2.2,7.625,-1.0,0.0,1.709,18.2,2.2,7.625,-1.0,0.0,1.919
2022-01-26T03:18:30,17.6,0.7,7.251,17.6,0.7,7.251,17.4,1.3,5.039,-1.0,0.0,2.366
2022-01-27T06:54:00,16.8,0.9,7.014,16.8,0.9,7.014,17.0,1.4,12.114,15.8,2.6,4.155
2022-01-28T05:27:00,17.2,1.4,7.507,17.2,1.4,7.507,16.6,2.3,12.069,-1.0,0.0,1.506
2022-01-29T07:35:00,17.8,2.1,5.713,17.8,2.1,5.713,16.8,1.2,9.074,-1.0,0.0,2.057
2022-01-30T06:41:00,4.4,0.5,2.717,4.4,0.5,2.717,-1.0,0.0,2.172,-1.0,0.0,1.552
2022-01-31T08:30:00,17.2,1.2,5.072,17.2,1.2,5.072,18.0,1.4,9.525,-1.0,0.0,1.424
