conversation_id,message_id,content,sent_by,sent_by_id,timestamp
D-25RMPZ-8SY3JY,b11cbf90-6b02-11eb-bf3d-f9ad4c6fd1b2,Fitbit bingo was fun once I understood how to win,Patrick M.,8SY3JY,2021-02-09T18:14:47.049Z
D-25RMPZ-8SY3JY,c9d26e90-6b02-11eb-a3c3-a3f7b13d7e55,It takes one or two games. I'll do another one next week.,RandomCandace,25RMPZ,2021-02-09T18:15:28.505Z
D-25RMPZ-8SY3JY,db64b910-6b02-11eb-b6a9-d3a45e259931,Cool. Count me in,Patrick M.,8SY3JY,2021-02-09T18:15:57.985Z
D-25RMPZ-8SY3JY,a2eebc80-803c-11eb-a490-bbc2c033b3a2,I am going to need you to back off the game :p,Patrick M.,8SY3JY,2021-03-08T18:32:28.488Z
D-25RMPZ-8SY3JY,fef14570-803c-11eb-baa9-a50ee45136cc,You would think we were dating with comments like that. 🤣,RandomCandace,25RMPZ,2021-03-08T18:35:02.855Z
D-25RMPZ-8SY3JY,ae485700-8044-11eb-baa9-a50ee45136cc,Ha!,Patrick M.,8SY3JY,2021-03-08T19:30:03.504Z
D-25RMPZ-8SY3JY,b4935ce0-8044-11eb-baa9-a50ee45136cc,Just saying that i am going to win ;),Patrick M.,8SY3JY,2021-03-08T19:30:14.062Z
D-25RMPZ-8SY3JY,d9d45750-8046-11eb-8a34-45dffe7be9d0,My friends Don Kristie are quite the competitors as well.,RandomCandace,25RMPZ,2021-03-08T19:45:35.557Z
D-25RMPZ-8SY3JY,7e6f0350-8047-11eb-baa9-a50ee45136cc,"Good to know ",Patrick M.,8SY3JY,2021-03-08T19:50:11.717Z
D-25RMPZ-8SY3JY,82fa30c0-8047-11eb-8a34-45dffe7be9d0,"How is it going ",Patrick M.,8SY3JY,2021-03-08T19:50:19.340Z
D-25RMPZ-8SY3JY,944f7240-8047-11eb-a490-bbc2c033b3a2,"Pretty good overall. How are things with you guys ",RandomCandace,25RMPZ,2021-03-08T19:50:48.420Z
D-25RMPZ-8SY3JY,9df514d0-8047-11eb-bdf9-1749b61377c0,Doing alright,Patrick M.,8SY3JY,2021-03-08T19:51:04.605Z
D-25RMPZ-8SY3JY,a4641d70-8047-11eb-8a34-45dffe7be9d0,Been in lockdown for months,Patrick M.,8SY3JY,2021-03-08T19:51:15.399Z
D-25RMPZ-8SY3JY,abcb68c0-8047-11eb-8a34-45dffe7be9d0,"Everything but grocery stores are closed ",Patrick M.,8SY3JY,2021-03-08T19:51:27.820Z
D-25RMPZ-8SY3JY,ae846e40-8047-11eb-bdf9-1749b61377c0,Bored af,Patrick M.,8SY3JY,2021-03-08T19:51:32.388Z
