conversation_id,message_id,content,sent_by,sent_by_id,timestamp
D-8SY3JY-9HFB26,a947b130-dd67-11eb-ab66-2feb638cbef0,How do you like the Fitbit app so far? (Just writing her to see if it works),Patrick M.,8SY3JY,2021-07-05T08:04:45.635Z
D-8SY3JY-9HFB26,da980d20-dd67-11eb-a057-396dff93c2a6,There are soooo many functions... OMG. Do you have Premium? Is it it  worth,Katzen G.,9HFB26,2021-07-05T08:06:08.370Z
D-8SY3JY-9HFB26,1028aad0-dd68-11eb-bdd4-e1ee9bb6a5a0,I don't have premium. Normally you can get a free trial of the premium. I tried it out for a couple of weeks but the extra stuff was not that important to me to continue to pay for it,Patrick M.,8SY3JY,2021-07-05T08:07:38.237Z
D-8SY3JY-9HFB26,3b383a10-dd68-11eb-ab66-2feb638cbef0,"You should get mostly everything with the free but the premium keeps specific data (breathing rate, temperature) for more than a week. ",Patrick M.,8SY3JY,2021-07-05T08:08:50.481Z
D-8SY3JY-9HFB26,4b4a9b50-dd68-11eb-ab66-2feb638cbef0,"You still get the information in the free ",Patrick M.,8SY3JY,2021-07-05T08:09:17.445Z
D-8SY3JY-9HFB26,a128b930-dd68-11eb-ab66-2feb638cbef0,"Within the health metrics section (breathing rate, temperature, resting heart rate, oxygen), the information is stored for one week. The only difference with the premium is that it is stored for more than a week",Patrick M.,8SY3JY,2021-07-05T08:11:41.507Z
D-8SY3JY-9HFB26,b09898e0-dd68-11eb-ab66-2feb638cbef0,"One week is good enough and to be honest, i don't look at it so often ",Patrick M.,8SY3JY,2021-07-05T08:12:07.406Z
D-8SY3JY-9HFB26,c670ca70-dd68-11eb-ab66-2feb638cbef0,"The other stuff like, zone minutes, steps is what I used to grade myself and try to improve",Patrick M.,8SY3JY,2021-07-05T08:12:44.055Z
D-8SY3JY-9HFB26,aef14710-de50-11eb-a90a-851b4f8a0fa5,What can you see on my Fitbit profile?,Patrick M.,8SY3JY,2021-07-06T11:52:47.873Z
D-8SY3JY-9HFB26,fb5cce60-de52-11eb-8f2a-27a87d20862b,"Almost the same as you. I can also see your freinds and trophys, or 'Beiträge""",Katzen G.,9HFB26,2021-07-06T12:09:15.078Z
D-8SY3JY-9HFB26,764924a0-e33c-11eb-aa06-ef3fe5adb6c1,"You are getting a lot of steps! Good job :) ",Patrick M.,8SY3JY,2021-07-12T18:10:38.698Z
D-8SY3JY-9HFB26,8b24a6b0-e33c-11eb-96bd-e317708b9c31,"I know you can't see it but i have been getting a lot of zone minutes lately because I have been weight lifting again since i am allow back at the gym ",Patrick M.,8SY3JY,2021-07-12T18:11:13.691Z
D-8SY3JY-9HFB26,70b93490-e340-11eb-96bd-e317708b9c31,"Aw, thats great!!!",Katzen G.,9HFB26,2021-07-12T18:39:07.353Z
D-8SY3JY-9HFB26,8e441250-e340-11eb-b773-5107ebdf598f,If you actually want to see more of the data on my account. I could give you the password,Patrick M.,8SY3JY,2021-07-12T18:39:56.917Z
D-8SY3JY-9HFB26,96cab050-e340-11eb-96bd-e317708b9c31,How are you liking the watch  so far?,Patrick M.,8SY3JY,2021-07-12T18:40:11.221Z
D-8SY3JY-9HFB26,a4fabd00-e340-11eb-b773-5107ebdf598f,"The only thing that i don't like is that it is not bright enough outside ",Patrick M.,8SY3JY,2021-07-12T18:40:35.024Z
D-8SY3JY-9HFB26,b2241f60-e351-11eb-b773-5107ebdf598f,"I like it. 
Sometimes I think I need glasses cause the letters are too small for me. OMG...
Where can I set, what others can see?",Katzen G.,9HFB26,2021-07-12T20:42:38.550Z
D-8SY3JY-9HFB26,0be89600-e390-11eb-b773-5107ebdf598f,In the settings,Patrick M.,8SY3JY,2021-07-13T04:08:57.952Z
