timestamp,average_value,lower_bound,upper_bound
2022-11-13T00:00:00Z,92.9,91.3,94.0
2022-11-14T00:00:00Z,93.3,88.5,95.8
2022-11-15T00:00:00Z,96.2,96.2,96.4
2022-11-16T00:00:00Z,97.2,96.2,98.7
2022-11-18T00:00:00Z,94.1,94.7,94.7
2022-11-23T00:00:00Z,92.7,90.6,93.9
2022-11-25T00:00:00Z,96.8,96.8,97.9
2022-11-26T00:00:00Z,94.5,92.4,94.7
2022-11-28T00:00:00Z,94.4,92.0,97.2
2022-11-29T00:00:00Z,96.0,94.3,97.7
2022-11-30T00:00:00Z,96.0,93.1,98.9
2022-12-03T00:00:00Z,95.9,92.2,98.1
2022-12-10T00:00:00Z,96.7,96.3,97.5
2022-12-11T00:00:00Z,90.6,90.7,93.5
2022-12-13T00:00:00Z,95.9,91.4,99.0
2022-12-16T00:00:00Z,95.1,96.0,94.7
2022-12-21T00:00:00Z,95.2,94.9,95.5
2022-12-23T00:00:00Z,96.0,95.4,95.9
2022-12-25T00:00:00Z,95.7,96.8,96.7
2022-12-26T00:00:00Z,97.1,96.0,100.0
2022-12-28T00:00:00Z,97.1,97.5,98.2
2022-12-29T00:00:00Z,95.7,93.2,98.6
2023-01-02T00:00:00Z,96.3,95.4,97.4
2023-01-04T00:00:00Z,97.1,99.4,94.9
2023-01-05T00:00:00Z,94.4,94.7,94.2
2023-01-06T00:00:00Z,96.4,95.9,97.3
2023-01-07T00:00:00Z,95.2,91.4,99.4
2023-01-09T00:00:00Z,97.6,96.7,98.6
2023-01-10T00:00:00Z,96.4,94.9,99.4
2023-01-13T00:00:00Z,93.9,94.6,94.8
2023-01-14T00:00:00Z,97.2,92.7,100.0
2023-01-15T00:00:00Z,95.4,94.5,95.2
2023-01-16T00:00:00Z,94.9,93.4,95.7
2023-01-18T00:00:00Z,96.0,91.4,99.2
2023-01-19T00:00:00Z,93.3,91.5,94.6
2023-01-20T00:00:00Z,97.2,96.1,98.3
2023-01-21T00:00:00Z,94.0,93.6,94.4
2023-01-22T00:00:00Z,95.3,95.5,96.0
2023-01-23T00:00:00Z,92.9,91.6,94.7
2023-01-24T00:00:00Z,95.3,93.1,98.3
2023-01-25T00:00:00Z,96.4,93.4,98.2
2023-01-26T00:00:00Z,95.9,94.0,98.3
2023-01-27T00:00:00Z,96.1,94.9,96.7
2023-01-29T00:00:00Z,96.4,96.2,96.9
2023-01-30T00:00:00Z,92.9,92.5,94.0
2023-01-31T00:00:00Z,96.0,96.5,96.3
2023-02-02T00:00:00Z,95.3,96.4,96.1
2023-02-03T00:00:00Z,95.2,95.1,96.1
2023-02-05T00:00:00Z,96.5,95.3,97.7
2023-02-08T00:00:00Z,96.3,96.5,96.6
2023-02-10T00:00:00Z,95.6,96.6,96.2
2023-02-11T00:00:00Z,94.7,92.7,96.9
2023-02-12T00:00:00Z,94.7,93.9,95.5
2023-02-13T00:00:00Z,95.6,95.3,96.3
2023-02-16T00:00:00Z,94.3,92.9,95.7
2023-02-17T00:00:00Z,94.8,94.1,95.5
2023-02-18T00:00:00Z,95.1,94.8,96.1
2023-02-21T00:00:00Z,95.6,90.3,98.4
