timestamp,heart rate zone,total minutes,data source
2021-06-01T11:29:00Z,FAT_BURN,1,Charge 4
2021-06-01T11:37:00Z,FAT_BURN,1,Charge 4
2021-06-01T11:38:00Z,FAT_BURN,1,Charge 4
2021-06-01T11:39:00Z,FAT_BURN,1,Charge 4
2021-06-01T11:41:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:30:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:36:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:40:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:41:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:42:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:43:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:46:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:48:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:49:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:50:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:51:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:52:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:53:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:54:00Z,FAT_BURN,1,Charge 4
2021-06-01T12:55:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:06:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:07:00Z,CARDIO,2,Charge 4
2021-06-01T14:08:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:11:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:13:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:14:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:15:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:16:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:17:00Z,FAT_BURN,1,Charge 4
2021-06-01T14:18:00Z,FAT_BURN,1,Charge 4
2021-06-02T09:14:00Z,FAT_BURN,1,Charge 4
2021-06-02T10:23:00Z,FAT_BURN,1,Charge 4
2021-06-02T10:24:00Z,FAT_BURN,1,Charge 4
2021-06-02T10:25:00Z,FAT_BURN,1,Charge 4
2021-06-02T13:34:00Z,FAT_BURN,1,Charge 4
2021-06-02T13:35:00Z,FAT_BURN,1,Charge 4
2021-06-02T13:36:00Z,FAT_BURN,1,Charge 4
