timestamp,gain,data source
2023-01-01T00:58:00Z,3048,Charge 4
2023-01-01T12:19:00Z,3048,Charge 4
2023-01-01T12:44:00Z,3048,Charge 4
2023-01-01T13:28:00Z,3048,Charge 4
2023-01-01T14:55:00Z,3048,Charge 4
2023-01-01T14:59:00Z,6096,Charge 4
2023-01-01T15:00:00Z,6096,Charge 4
2023-01-01T15:02:00Z,3048,Charge 4
2023-01-02T13:05:00Z,3048,Charge 4
2023-01-02T14:31:00Z,3048,Charge 4
2023-01-02T15:14:00Z,3048,Charge 4
2023-01-02T15:51:00Z,3048,Charge 4
2023-01-02T17:32:00Z,3048,Charge 4
2023-01-02T17:59:00Z,3048,Charge 4
2023-01-02T18:47:00Z,3048,Charge 4
2023-01-02T20:08:00Z,3048,Charge 4
2023-01-02T20:26:00Z,3048,Charge 4
2023-01-02T21:08:00Z,3048,Charge 4
2023-01-02T21:11:00Z,3048,Charge 4
2023-01-03T00:02:00Z,3048,Charge 4
2023-01-03T01:06:00Z,3048,Charge 4
2023-01-03T10:46:00Z,3048,Charge 4
2023-01-03T10:47:00Z,3048,Charge 4
2023-01-03T12:39:00Z,3048,Charge 4
2023-01-03T15:12:00Z,3048,Charge 4
2023-01-03T15:18:00Z,3048,Charge 4
2023-01-03T15:31:00Z,3048,Charge 4
2023-01-03T15:33:00Z,3048,Charge 4
2023-01-03T16:43:00Z,3048,Charge 4
2023-01-03T16:45:00Z,3048,Charge 4
2023-01-03T16:46:00Z,3048,Charge 4
2023-01-03T16:47:00Z,3048,Charge 4
2023-01-03T16:51:00Z,3048,Charge 4
2023-01-03T16:52:00Z,3048,Charge 4
2023-01-03T16:58:00Z,3048,Charge 4
2023-01-03T17:21:00Z,3048,Charge 4
2023-01-03T17:31:00Z,3048,Charge 4
2023-01-03T17:32:00Z,3048,Charge 4
2023-01-03T21:39:00Z,3048,Charge 4
2023-01-03T23:47:00Z,3048,Charge 4
2023-01-04T00:09:00Z,3048,Charge 4
2023-01-04T09:01:00Z,3048,Charge 4
2023-01-04T09:03:00Z,9144,Charge 4
2023-01-04T09:04:00Z,3048,Charge 4
2023-01-04T09:05:00Z,3048,Charge 4
2023-01-04T09:21:00Z,3048,Charge 4
2023-01-04T09:22:00Z,3048,Charge 4
2023-01-04T09:23:00Z,6096,Charge 4
2023-01-04T09:24:00Z,6096,Charge 4
2023-01-04T09:46:00Z,3048,Charge 4
2023-01-04T09:47:00Z,3048,Charge 4
2023-01-04T09:48:00Z,6096,Charge 4
2023-01-04T09:49:00Z,3048,Charge 4
2023-01-04T15:41:00Z,6096,Charge 4
2023-01-04T15:42:00Z,3048,Charge 4
2023-01-04T15:43:00Z,3048,Charge 4
2023-01-04T15:44:00Z,3048,Charge 4
2023-01-04T15:45:00Z,3048,Charge 4
2023-01-04T15:53:00Z,3048,Charge 4
2023-01-04T15:54:00Z,3048,Charge 4
2023-01-04T15:55:00Z,3048,Charge 4
2023-01-04T15:56:00Z,6096,Charge 4
2023-01-04T16:25:00Z,6096,Charge 4
2023-01-04T16:27:00Z,3048,Charge 4
