timestamp,average heart rate variability milliseconds,non rem heart rate beats per minute,entropy,deep sleep root mean square of successive differences milliseconds,data source
2021-02-04T00:00:00Z,14.478,66.677,2.05,0.0,Fitbit App
2021-02-05T00:00:00Z,17.657,64.368,2.303,0.0,Fitbit App
2021-02-06T00:00:00Z,15.399,64.257,2.127,0.0,Fitbit App
2021-02-07T00:00:00Z,15.113,65.38,2.001,0.0,Fitbit App
2021-02-08T00:00:00Z,15.685,65.266,2.495,0.0,Fitbit App
2021-02-09T00:00:00Z,18.554,60.952,2.401,0.0,Fitbit App
2021-02-10T00:00:00Z,19.39,62.676,2.214,0.0,Fitbit App
2021-02-11T00:00:00Z,19.313,62.929,2.569,0.0,Fitbit App
2021-02-12T00:00:00Z,19.313,62.816,2.104,0.0,Fitbit App
2021-02-13T00:00:00Z,13.746,68.729,2.067,0.0,Fitbit App
2021-02-14T00:00:00Z,16.872,69.137,2.443,0.0,Fitbit App
2021-02-15T00:00:00Z,19.009,71.545,1.858,0.0,Fitbit App
2021-02-16T00:00:00Z,20.684,66.97,2.599,0.0,Fitbit App
2021-02-17T00:00:00Z,15.399,74.678,2.302,0.0,Fitbit App
2021-02-19T00:00:00Z,28.456,62.144,2.977,0.0,Fitbit App
2021-02-20T00:00:00Z,29.659,61.328,2.635,0.0,Fitbit App
2021-02-21T00:00:00Z,27.696,63.152,2.519,0.0,Fitbit App
2021-02-22T00:00:00Z,15.061,74.287,1.747,0.0,Fitbit App
2021-02-23T00:00:00Z,18.386,73.157,2.227,0.0,Fitbit App
2021-02-24T00:00:00Z,16.999,74.988,2.145,0.0,Fitbit App
2021-02-25T00:00:00Z,14.961,71.331,2.094,0.0,Fitbit App
2021-02-26T00:00:00Z,21.981,64.773,2.714,0.0,Fitbit App
2021-02-27T00:00:00Z,26.018,61.524,2.375,0.0,Fitbit App
2021-02-28T00:00:00Z,11.638,75.952,1.613,0.0,Fitbit App
2021-03-01T00:00:00Z,13.209,77.254,2.478,0.0,Fitbit App
2021-03-02T00:00:00Z,16.218,76.735,2.343,0.0,Fitbit App
2021-03-03T00:00:00Z,17.699,69.065,2.233,0.0,Fitbit App
2021-03-04T00:00:00Z,16.885,71.993,2.037,0.0,Fitbit App
2021-03-05T00:00:00Z,18.361,70.783,2.682,0.0,Fitbit App
2021-03-06T00:00:00Z,11.41,74.139,1.876,0.0,Fitbit App
2021-03-07T00:00:00Z,17.632,71.84,2.7,0.0,Fitbit App
2021-03-08T00:00:00Z,11.693,75.106,1.556,0.0,Fitbit App
2021-03-09T00:00:00Z,8.353,79.104,1.916,0.0,Fitbit App
2021-03-10T00:00:00Z,11.192,80.938,2.501,0.0,Fitbit App
2021-03-11T00:00:00Z,15.14,72.828,2.18,0.0,Fitbit App
2021-03-12T00:00:00Z,14.901,72.799,2.33,0.0,Fitbit App
2021-03-13T00:00:00Z,17.927,68.818,2.276,0.0,Fitbit App
2021-03-15T00:00:00Z,17.335,72.428,2.646,0.0,Fitbit App
2021-03-16T00:00:00Z,15.215,69.402,2.392,0.0,Fitbit App
2021-03-17T00:00:00Z,15.081,72.107,2.372,0.0,Fitbit App
2021-03-18T00:00:00Z,11.416,78.077,1.867,0.0,Fitbit App
2021-03-19T00:00:00Z,15.36,73.579,2.519,0.0,Fitbit App
2021-03-20T00:00:00Z,11.997,76.271,2.246,0.0,Fitbit App
2021-03-21T00:00:00Z,10.273,74.242,2.275,0.0,Fitbit App
2021-03-22T00:00:00Z,14.829,73.395,2.631,0.0,Fitbit App
2021-03-23T00:00:00Z,14.508,72.719,2.235,0.0,Fitbit App
2021-03-24T00:00:00Z,13.083,72.542,2.236,0.0,Fitbit App
2021-03-25T00:00:00Z,15.464,70.311,2.365,0.0,Fitbit App
2021-03-26T00:00:00Z,16.358,69.77,2.529,0.0,Fitbit App
2021-03-28T00:00:00Z,15.004,73.799,1.99,0.0,Fitbit App
2021-03-29T00:00:00Z,11.243,72.163,1.786,0.0,Fitbit App
2021-03-31T00:00:00Z,14.432,70.954,2.137,11.914,Fitbit App
2021-04-01T00:00:00Z,16.469,70.295,2.214,15.418,Fitbit App
2021-04-02T00:00:00Z,18.023,64.38,2.301,15.779,Fitbit App
2021-04-03T00:00:00Z,16.277,70.315,2.058,15.848,Fitbit App
2021-04-04T00:00:00Z,15.126,69.048,1.816,15.543,Fitbit App
2021-04-05T00:00:00Z,17.292,69.421,2.533,15.305,Fitbit App
2021-04-06T00:00:00Z,17.571,67.818,2.294,17.664,Fitbit App
2021-04-07T00:00:00Z,21.993,65.967,2.564,20.66,Fitbit App
2021-04-08T00:00:00Z,21.891,66.858,2.724,16.788,Fitbit App
2021-04-09T00:00:00Z,14.842,69.055,1.872,18.44,Fitbit App
2021-04-10T00:00:00Z,20.046,64.319,2.413,20.536,Fitbit App
2021-04-12T00:00:00Z,14.06,71.518,2.015,16.188,Fitbit App
2021-04-13T00:00:00Z,14.395,68.338,2.048,13.601,Fitbit App
2021-04-14T00:00:00Z,14.222,73.302,2.101,17.191,Fitbit App
2021-04-15T00:00:00Z,18.806,66.029,2.078,16.052,Fitbit App
2021-04-16T00:00:00Z,15.155,69.112,2.073,12.6,Fitbit App
2021-04-17T00:00:00Z,15.003,70.779,1.903,14.461,Fitbit App
2021-04-18T00:00:00Z,14.529,68.477,2.166,12.277,Fitbit App
2021-04-19T00:00:00Z,16.178,67.235,2.129,17.517,Fitbit App
2021-04-20T00:00:00Z,15.378,67.332,2.032,11.85,Fitbit App
2021-04-21T00:00:00Z,14.441,67.802,2.04,13.216,Fitbit App
2021-04-22T00:00:00Z,14.706,68.402,2.003,15.265,Fitbit App
2021-04-23T00:00:00Z,14.749,68.722,2.326,11.586,Fitbit App
2021-04-24T00:00:00Z,14.852,67.794,2.394,12.911,Fitbit App
2021-04-25T00:00:00Z,11.651,69.81,2.336,14.875,Fitbit App
2021-04-26T00:00:00Z,17.543,63.887,2.283,19.089,Fitbit App
2021-04-27T00:00:00Z,18.388,63.177,2.228,19.662,Fitbit App
2021-04-28T00:00:00Z,21.351,61.48,2.46,14.209,Fitbit App
2021-04-29T00:00:00Z,21.043,60.293,2.542,22.694,Fitbit App
2021-04-30T00:00:00Z,21.338,60.885,2.357,19.205,Fitbit App
2021-05-01T00:00:00Z,22.819,60.699,2.553,20.081,Fitbit App
2021-05-02T00:00:00Z,18.219,60.653,2.329,13.988,Fitbit App
2021-05-03T00:00:00Z,20.939,59.767,2.388,20.646,Fitbit App
2021-05-04T00:00:00Z,20.93,61.855,2.602,18.727,Fitbit App
2021-05-05T00:00:00Z,17.359,69.895,2.656,16.472,Fitbit App
2021-05-06T00:00:00Z,21.681,63.383,2.642,23.847,Fitbit App
2021-05-07T00:00:00Z,20.302,64.245,2.656,24.539,Fitbit App
2021-05-09T00:00:00Z,15.126,72.049,2.23,12.074,Fitbit App
2021-05-10T00:00:00Z,14.59,72.406,2.269,11.68,Fitbit App
2021-05-11T00:00:00Z,22.79,65.923,2.721,25.007,Fitbit App
2021-05-12T00:00:00Z,17.627,67.916,1.987,19.452,Fitbit App
2021-05-13T00:00:00Z,22.208,60.895,2.609,21.346,Fitbit App
2021-05-20T00:00:00Z,11.709,74.372,1.828,10.025,Fitbit App
2021-05-21T00:00:00Z,13.959,75.523,2.015,13.449,Fitbit App
2021-05-22T00:00:00Z,17.028,70.179,2.533,18.943,Fitbit App
2021-05-23T00:00:00Z,13.401,76.279,2.546,10.491,Fitbit App
2021-05-24T00:00:00Z,15.536,74.923,2.653,15.756,Fitbit App
2021-05-25T00:00:00Z,16.665,72.953,2.882,14.409,Fitbit App
2021-05-27T00:00:00Z,17.375,74.543,2.414,15.636,Fitbit App
2021-05-30T00:00:00Z,18.351,66.631,2.1,19.242,Fitbit App
2021-05-31T00:00:00Z,19.003,74.945,2.726,35.241,Fitbit App
2021-06-01T00:00:00Z,16.99,68.736,2.696,16.118,Fitbit App
2021-06-02T00:00:00Z,18.607,65.003,2.217,18.833,Fitbit App
2021-06-03T00:00:00Z,19.645,64.496,2.531,19.765,Fitbit App
2021-06-04T00:00:00Z,18.951,68.038,2.55,21.941,Fitbit App
2021-06-05T00:00:00Z,11.649,75.975,2.054,10.968,Fitbit App
2021-06-07T00:00:00Z,11.813,75.789,1.888,9.972,Fitbit App
2021-06-08T00:00:00Z,16.159,67.644,2.112,11.984,Fitbit App
2021-06-09T00:00:00Z,14.561,72.096,2.027,12.651,Fitbit App
2021-06-10T00:00:00Z,18.853,69.389,2.23,17.757,Fitbit App
2021-06-11T00:00:00Z,12.301,74.362,2.156,12.866,Fitbit App
2021-06-12T00:00:00Z,10.662,79.439,2.008,10.158,Fitbit App
2021-06-13T00:00:00Z,12.589,76.126,1.88,13.475,Fitbit App
2021-06-14T00:00:00Z,11.118,81.822,2.151,9.53,Fitbit App
2021-06-15T00:00:00Z,14.74,71.678,1.836,20.475,Fitbit App
2021-06-16T00:00:00Z,10.748,80.357,2.336,8.351,Fitbit App
2021-06-17T00:00:00Z,13.52,75.529,2.582,8.508,Fitbit App
2021-06-18T00:00:00Z,11.468,73.774,1.905,14.163,Fitbit App
2021-06-19T00:00:00Z,11.539,72.739,2.009,10.538,Fitbit App
2021-06-21T00:00:00Z,10.878,74.67,2.046,12.362,Fitbit App
2021-06-23T00:00:00Z,14.583,73.576,2.585,17.451,Fitbit App
2021-06-24T00:00:00Z,11.911,75.714,2.106,12.18,Fitbit App
2021-06-25T00:00:00Z,14.095,73.575,2.511,13.374,Fitbit App
2021-06-26T00:00:00Z,11.928,72.4,1.831,16.134,Fitbit App
