timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2024-08-01T00:00:00Z,94.5,88.5,98.8,95.3,1.3,Charge 5
2024-08-02T00:00:00Z,93.8,92.2,95.5,95.2,1.3,Charge 5
2024-08-03T00:00:00Z,97.2,93.6,99.8,95.3,1.3,Charge 5
2024-08-04T00:00:00Z,96.1,91.7,98.9,95.3,1.3,Charge 5
2024-08-05T00:00:00Z,97.8,94.0,100.0,95.4,1.4,Charge 5
2024-08-06T00:00:00Z,94.2,91.7,96.3,95.4,1.4,Charge 5
2024-08-07T00:00:00Z,96.7,93.7,98.4,95.4,1.4,Charge 5
2024-08-08T00:00:00Z,94.4,90.5,98.4,95.3,1.4,Charge 5
2024-08-09T00:00:00Z,95.5,94.3,97.4,95.4,1.4,Charge 5
2024-08-13T00:00:00Z,94.9,90.6,98.7,95.4,1.4,Charge 5
2024-08-15T00:00:00Z,96.3,95.3,97.5,95.3,1.4,Charge 5
2024-08-16T00:00:00Z,99.1,97.7,100.0,95.5,1.6,Charge 5
