timestamp,distance,data source
2023-06-01T02:01:00Z,6.10,Charge 4
2023-06-01T04:59:00Z,6.90,Charge 4
2023-06-01T05:21:00Z,6.90,Charge 4
2023-06-01T05:24:00Z,4.60,Charge 4
2023-06-01T05:36:00Z,18.40,Charge 4
2023-06-01T05:37:00Z,8.40,Charge 4
2023-06-01T05:43:00Z,18.40,Charge 4
2023-06-01T05:44:00Z,19.20,Charge 4
2023-06-01T05:45:00Z,5.30,Charge 4
2023-06-01T05:46:00Z,7.60,Charge 4
2023-06-01T05:52:00Z,9.90,Charge 4
2023-06-01T05:53:00Z,10.70,Charge 4
2023-06-01T06:41:00Z,6.90,Charge 4
2023-06-01T06:50:00Z,15.30,Charge 4
2023-06-01T06:51:00Z,14.50,Charge 4
2023-06-01T06:52:00Z,6.10,Charge 4
2023-06-01T06:53:00Z,25.30,Charge 4
2023-06-01T06:55:00Z,10.70,Charge 4
2023-06-01T06:58:00Z,11.50,Charge 4
2023-06-01T07:10:00Z,6.90,Charge 4
2023-06-01T07:11:00Z,17.60,Charge 4
2023-06-01T07:12:00Z,20.70,Charge 4
2023-06-01T07:13:00Z,3.80,Charge 4
2023-06-01T07:14:00Z,68.40,Charge 4
2023-06-01T07:15:00Z,77.60,Charge 4
2023-06-01T07:16:00Z,84.60,Charge 4
2023-06-01T07:17:00Z,82.20,Charge 4
2023-06-01T07:18:00Z,46.80,Charge 4
2023-06-01T07:19:00Z,0.70,Charge 4
2023-06-01T07:20:00Z,18.40,Charge 4
2023-06-01T07:24:00Z,10.00,Charge 4
2023-06-01T08:03:00Z,36.10,Charge 4
2023-06-01T08:04:00Z,69.90,Charge 4
2023-06-01T08:05:00Z,22.20,Charge 4
2023-06-01T08:06:00Z,18.40,Charge 4
2023-06-01T08:07:00Z,25.30,Charge 4
2023-06-01T08:20:00Z,11.50,Charge 4
2023-06-01T08:21:00Z,11.50,Charge 4
2023-06-01T08:22:00Z,21.50,Charge 4
2023-06-01T08:23:00Z,5.30,Charge 4
2023-06-01T08:31:00Z,5.30,Charge 4
2023-06-01T08:32:00Z,4.60,Charge 4
2023-06-01T09:36:00Z,13.00,Charge 4
2023-06-01T09:45:00Z,23.80,Charge 4
2023-06-01T09:50:00Z,6.10,Charge 4
2023-06-01T09:51:00Z,19.90,Charge 4
2023-06-03T10:09:00Z,8.40,Charge 5
2023-06-03T10:10:00Z,13.80,Charge 5
2023-06-03T10:21:00Z,5.30,Charge 5
2023-06-03T10:22:00Z,8.40,Charge 5
2023-06-03T10:23:00Z,13.00,Charge 5
2023-06-03T10:24:00Z,23.80,Charge 5
2023-06-03T10:26:00Z,13.00,Charge 5
2023-06-03T10:27:00Z,31.50,Charge 5
2023-06-03T10:28:00Z,18.40,Charge 5
2023-06-03T11:10:00Z,6.90,Charge 5
2023-06-03T11:11:00Z,10.70,Charge 5
2023-06-03T11:18:00Z,23.80,Charge 5
2023-06-03T11:21:00Z,18.40,Charge 5
2023-06-03T11:25:00Z,5.30,Charge 5
2023-06-03T11:28:00Z,9.20,Charge 5
2023-06-03T11:29:00Z,9.90,Charge 5
2023-06-03T11:37:00Z,12.20,Charge 5
2023-06-03T11:40:00Z,7.60,Charge 5
2023-06-03T11:43:00Z,4.60,Charge 5
2023-06-03T11:46:00Z,56.80,Charge 5
2023-06-03T11:47:00Z,92.30,Charge 5
2023-06-03T11:48:00Z,84.50,Charge 5
2023-06-03T11:49:00Z,71.50,Charge 5
2023-06-03T11:50:00Z,63.70,Charge 5
2023-06-03T11:51:00Z,61.40,Charge 5
2023-06-03T11:52:00Z,74.50,Charge 5
2023-06-03T11:53:00Z,6.90,Charge 5
2023-06-03T11:54:00Z,26.10,Charge 5
2023-06-03T11:55:00Z,46.00,Charge 5
2023-06-03T11:56:00Z,26.10,Charge 5
2023-06-03T11:57:00Z,19.20,Charge 5
2023-06-03T11:58:00Z,9.20,Charge 5
2023-06-03T11:59:00Z,53.00,Charge 5
2023-06-03T12:00:00Z,80.70,Charge 5
2023-06-03T12:01:00Z,74.50,Charge 5
2023-06-03T12:02:00Z,41.50,Charge 5
2023-06-03T12:03:00Z,54.50,Charge 5
2023-06-03T12:04:00Z,69.90,Charge 5
2023-06-03T12:05:00Z,74.50,Charge 5
2023-06-03T12:06:00Z,68.40,Charge 5
2023-06-03T12:07:00Z,68.40,Charge 5
2023-06-03T12:08:00Z,74.50,Charge 5
2023-06-03T12:09:00Z,72.20,Charge 5
2023-06-03T12:10:00Z,76.10,Charge 5
2023-06-03T12:11:00Z,72.20,Charge 5
2023-06-03T12:12:00Z,62.20,Charge 5
2023-06-03T12:13:00Z,62.20,Charge 5
2023-06-03T12:14:00Z,69.90,Charge 5
2023-06-03T12:15:00Z,31.50,Charge 5
2023-06-03T12:21:00Z,9.90,Charge 5
2023-06-03T12:22:00Z,32.20,Charge 5
2023-06-03T12:23:00Z,78.40,Charge 5
2023-06-03T12:24:00Z,74.50,Charge 5
2023-06-03T12:25:00Z,73.00,Charge 5
2023-06-03T12:26:00Z,67.60,Charge 5
2023-06-03T12:27:00Z,59.10,Charge 5
2023-06-03T12:28:00Z,71.40,Charge 5
2023-06-03T12:29:00Z,75.30,Charge 5
2023-06-03T12:30:00Z,75.30,Charge 5
2023-06-03T12:31:00Z,72.20,Charge 5
2023-06-03T12:32:00Z,76.10,Charge 5
2023-06-03T12:33:00Z,80.70,Charge 5
2023-06-03T12:34:00Z,80.70,Charge 5
2023-06-03T12:35:00Z,79.20,Charge 5
2023-06-03T12:36:00Z,80.70,Charge 5
2023-06-03T12:37:00Z,72.20,Charge 5
2023-06-03T12:39:00Z,33.00,Charge 5
2023-06-03T12:41:00Z,6.10,Charge 5
2023-06-03T12:42:00Z,77.60,Charge 5
2023-06-03T12:43:00Z,80.70,Charge 5
2023-06-03T12:44:00Z,80.70,Charge 5
2023-06-03T12:45:00Z,69.90,Charge 5
2023-06-03T12:46:00Z,59.10,Charge 5
2023-06-03T12:47:00Z,65.20,Charge 5
2023-06-03T12:48:00Z,62.90,Charge 5
2023-06-03T12:49:00Z,59.10,Charge 5
2023-06-03T12:50:00Z,69.10,Charge 5
2023-06-03T12:51:00Z,55.30,Charge 5
