timestamp,beats per minute,data source
2021-11-09T00:00:14Z,82.0,Charge 4
2021-11-09T00:00:19Z,84.0,Charge 4
2021-11-09T00:00:34Z,84.0,Charge 4
2021-11-09T00:00:39Z,83.0,Charge 4
2021-11-09T00:00:44Z,82.0,Charge 4
2021-11-09T00:00:49Z,80.0,Charge 4
2021-11-09T00:00:59Z,81.0,Charge 4
2021-11-09T00:01:04Z,83.0,Charge 4
2021-11-09T00:01:09Z,84.0,Charge 4
2021-11-09T00:01:19Z,82.0,Charge 4
2021-11-09T00:01:34Z,82.0,Charge 4
2021-11-09T00:01:39Z,83.0,Charge 4
2021-11-09T00:01:44Z,82.0,Charge 4
2021-11-09T00:01:49Z,81.0,Charge 4
2021-11-09T00:01:59Z,84.0,Charge 4
2021-11-09T00:02:04Z,87.0,Charge 4
2021-11-09T00:02:14Z,86.0,Charge 4
2021-11-09T00:02:19Z,85.0,Charge 4
2021-11-09T00:02:24Z,84.0,Charge 4
2021-11-09T00:02:34Z,86.0,Charge 4
2021-11-09T00:02:49Z,86.0,Charge 4
2021-11-09T00:02:54Z,85.0,Charge 4
2021-11-09T00:02:59Z,83.0,Charge 4
2021-11-09T00:03:04Z,81.0,Charge 4
2021-11-09T00:03:14Z,80.0,Charge 4
2021-11-09T00:03:19Z,79.0,Charge 4
2021-11-09T00:03:24Z,80.0,Charge 4
2021-11-09T00:03:29Z,82.0,Charge 4
2021-11-09T00:03:34Z,84.0,Charge 4
2021-11-09T00:03:44Z,83.0,Charge 4
2021-11-09T00:03:49Z,82.0,Charge 4
2021-11-09T00:03:59Z,83.0,Charge 4
2021-11-09T00:04:09Z,82.0,Charge 4
2021-11-09T00:04:14Z,84.0,Charge 4
2021-11-09T00:04:24Z,83.0,Charge 4
2021-11-09T00:04:30Z,82.0,Charge 4
2021-11-09T00:04:45Z,85.0,Charge 4
2021-11-09T00:04:50Z,87.0,Charge 4
2021-11-09T00:04:55Z,86.0,Charge 4
2021-11-09T00:05:00Z,85.0,Charge 4
2021-11-09T00:05:05Z,84.0,Charge 4
2021-11-09T00:05:15Z,82.0,Charge 4
2021-11-09T00:05:20Z,83.0,Charge 4
2021-11-09T00:05:25Z,81.0,Charge 4
2021-11-09T00:05:35Z,83.0,Charge 4
2021-11-09T00:05:40Z,84.0,Charge 4
2021-11-09T00:05:45Z,83.0,Charge 4
2021-11-09T00:05:50Z,82.0,Charge 4
2021-11-09T00:06:00Z,83.0,Charge 4
2021-11-09T00:06:05Z,82.0,Charge 4
2021-11-09T00:06:10Z,83.0,Charge 4
2021-11-09T00:06:15Z,84.0,Charge 4
2021-11-09T00:06:20Z,86.0,Charge 4
2021-11-09T00:06:30Z,84.0,Charge 4
2021-11-09T00:06:45Z,84.0,Charge 4
2021-11-09T00:06:50Z,80.0,Charge 4
2021-11-09T00:06:55Z,79.0,Charge 4
2021-11-09T00:07:00Z,81.0,Charge 4
2021-11-09T00:07:05Z,82.0,Charge 4
2021-11-09T00:07:20Z,82.0,Charge 4
2021-11-09T00:07:25Z,81.0,Charge 4
2021-11-09T00:07:30Z,79.0,Charge 4
2021-11-09T00:07:35Z,79.0,Charge 4
2021-11-09T00:07:40Z,81.0,Charge 4
2021-11-09T00:07:45Z,83.0,Charge 4
2021-11-09T00:07:50Z,87.0,Charge 4
2021-11-09T00:07:55Z,88.0,Charge 4
2021-11-09T00:08:00Z,87.0,Charge 4
2021-11-09T00:08:05Z,86.0,Charge 4
2021-11-09T00:08:10Z,83.0,Charge 4
2021-11-09T00:08:15Z,80.0,Charge 4
2021-11-09T00:08:20Z,78.0,Charge 4
2021-11-09T00:08:25Z,80.0,Charge 4
2021-11-09T00:08:30Z,82.0,Charge 4
2021-11-09T00:08:45Z,82.0,Charge 4
2021-11-09T00:09:00Z,89.0,Charge 4
2021-11-09T00:09:05Z,101.0,Charge 4
2021-11-09T00:09:10Z,98.0,Charge 4
2021-11-09T00:09:15Z,95.0,Charge 4
2021-11-09T00:09:20Z,93.0,Charge 4
2021-11-09T00:09:25Z,88.0,Charge 4
2021-11-09T00:09:30Z,82.0,Charge 4
2021-11-09T00:09:40Z,80.0,Charge 4
2021-11-09T00:09:45Z,76.0,Charge 4
2021-11-09T00:09:50Z,79.0,Charge 4
2021-11-09T00:09:55Z,80.0,Charge 4
2021-11-09T00:10:00Z,82.0,Charge 4
2021-11-09T00:10:05Z,83.0,Charge 4
2021-11-09T00:10:10Z,81.0,Charge 4
2021-11-09T00:10:15Z,83.0,Charge 4
2021-11-09T00:10:20Z,86.0,Charge 4
2021-11-09T00:10:25Z,87.0,Charge 4
2021-11-09T00:10:30Z,91.0,Charge 4
2021-11-09T00:10:35Z,98.0,Charge 4
2021-11-09T00:10:40Z,99.0,Charge 4
2021-11-09T00:10:45Z,94.0,Charge 4
2021-11-09T00:10:50Z,87.0,Charge 4
2021-11-09T00:10:55Z,84.0,Charge 4
2021-11-09T00:11:00Z,83.0,Charge 4
2021-11-09T00:11:05Z,82.0,Charge 4
2021-11-09T00:11:10Z,81.0,Charge 4
2021-11-09T00:11:15Z,80.0,Charge 4
2021-11-09T00:11:20Z,79.0,Charge 4
2021-11-09T00:11:25Z,81.0,Charge 4
2021-11-09T00:11:30Z,83.0,Charge 4
2021-11-09T00:11:35Z,82.0,Charge 4
2021-11-09T00:11:40Z,81.0,Charge 4
2021-11-09T00:11:50Z,82.0,Charge 4
2021-11-09T00:12:00Z,80.0,Charge 4
2021-11-09T00:12:10Z,83.0,Charge 4
2021-11-09T00:12:15Z,82.0,Charge 4
2021-11-09T00:12:20Z,81.0,Charge 4
2021-11-09T00:12:25Z,82.0,Charge 4
2021-11-09T00:12:30Z,83.0,Charge 4
2021-11-09T00:12:35Z,82.0,Charge 4
2021-11-09T00:12:41Z,81.0,Charge 4
2021-11-09T00:12:46Z,80.0,Charge 4
2021-11-09T00:12:51Z,79.0,Charge 4
2021-11-09T00:12:56Z,78.0,Charge 4
2021-11-09T00:13:06Z,79.0,Charge 4
2021-11-09T00:13:21Z,80.0,Charge 4
2021-11-09T00:13:26Z,82.0,Charge 4
2021-11-09T00:13:31Z,81.0,Charge 4
2021-11-09T00:13:41Z,82.0,Charge 4
2021-11-09T00:13:46Z,81.0,Charge 4
2021-11-09T00:13:51Z,80.0,Charge 4
2021-11-09T00:14:01Z,81.0,Charge 4
2021-11-09T00:14:06Z,82.0,Charge 4
2021-11-09T00:14:16Z,80.0,Charge 4
2021-11-09T00:14:21Z,81.0,Charge 4
2021-11-09T00:14:36Z,80.0,Charge 4
2021-11-09T00:14:41Z,79.0,Charge 4
2021-11-09T00:14:46Z,78.0,Charge 4
2021-11-09T00:14:51Z,79.0,Charge 4
2021-11-09T00:14:56Z,81.0,Charge 4
2021-11-09T00:15:01Z,83.0,Charge 4
2021-11-09T00:15:06Z,81.0,Charge 4
2021-11-09T00:15:21Z,81.0,Charge 4
2021-11-09T00:15:26Z,82.0,Charge 4
2021-11-09T00:15:36Z,81.0,Charge 4
2021-11-09T00:15:41Z,80.0,Charge 4
2021-11-09T00:15:56Z,83.0,Charge 4
2021-11-09T00:16:01Z,84.0,Charge 4
2021-11-09T00:16:06Z,86.0,Charge 4
2021-11-09T00:16:11Z,87.0,Charge 4
2021-11-09T00:16:16Z,85.0,Charge 4
2021-11-09T00:16:21Z,83.0,Charge 4
2021-11-09T00:16:26Z,82.0,Charge 4
2021-11-09T00:16:31Z,83.0,Charge 4
2021-11-09T00:16:41Z,80.0,Charge 4
2021-11-09T00:16:46Z,76.0,Charge 4
2021-11-09T00:16:51Z,75.0,Charge 4
2021-11-09T00:16:56Z,78.0,Charge 4
2021-11-09T00:17:01Z,80.0,Charge 4
2021-11-09T00:17:06Z,81.0,Charge 4
2021-11-09T00:17:11Z,80.0,Charge 4
2021-11-09T00:17:21Z,81.0,Charge 4
2021-11-09T00:17:31Z,80.0,Charge 4
2021-11-09T00:17:41Z,82.0,Charge 4
2021-11-09T00:17:46Z,83.0,Charge 4
2021-11-09T00:17:56Z,84.0,Charge 4
2021-11-09T00:18:06Z,83.0,Charge 4
2021-11-09T00:18:11Z,82.0,Charge 4
2021-11-09T00:18:21Z,83.0,Charge 4
2021-11-09T00:18:26Z,84.0,Charge 4
2021-11-09T00:18:31Z,83.0,Charge 4
2021-11-09T00:18:41Z,82.0,Charge 4
2021-11-09T00:18:46Z,81.0,Charge 4
2021-11-09T00:18:56Z,82.0,Charge 4
2021-11-09T00:19:02Z,83.0,Charge 4
2021-11-09T00:19:12Z,82.0,Charge 4
2021-11-09T00:19:17Z,81.0,Charge 4
2021-11-09T00:19:32Z,80.0,Charge 4
2021-11-09T00:19:47Z,79.0,Charge 4
2021-11-09T00:19:52Z,81.0,Charge 4
2021-11-09T00:20:02Z,80.0,Charge 4
2021-11-09T00:20:07Z,81.0,Charge 4
2021-11-09T00:20:12Z,83.0,Charge 4
2021-11-09T00:20:17Z,84.0,Charge 4
2021-11-09T00:20:32Z,84.0,Charge 4
2021-11-09T00:20:42Z,87.0,Charge 4
2021-11-09T00:20:47Z,90.0,Charge 4
2021-11-09T00:20:52Z,89.0,Charge 4
2021-11-09T00:20:57Z,88.0,Charge 4
2021-11-09T00:21:07Z,87.0,Charge 4
2021-11-09T00:21:12Z,84.0,Charge 4
2021-11-09T00:21:17Z,83.0,Charge 4
2021-11-09T00:21:32Z,82.0,Charge 4
2021-11-09T00:21:37Z,80.0,Charge 4
2021-11-09T00:21:52Z,80.0,Charge 4
2021-11-09T00:22:07Z,80.0,Charge 4
2021-11-09T00:22:12Z,83.0,Charge 4
2021-11-09T00:22:22Z,82.0,Charge 4
2021-11-09T00:22:27Z,85.0,Charge 4
2021-11-09T00:22:32Z,89.0,Charge 4
2021-11-09T00:22:37Z,88.0,Charge 4
2021-11-09T00:22:42Z,85.0,Charge 4
2021-11-09T00:22:57Z,86.0,Charge 4
2021-11-09T00:23:07Z,85.0,Charge 4
2021-11-09T00:23:17Z,84.0,Charge 4
2021-11-09T00:23:22Z,83.0,Charge 4
2021-11-09T00:23:37Z,83.0,Charge 4
2021-11-09T00:23:42Z,85.0,Charge 4
2021-11-09T00:23:47Z,87.0,Charge 4
2021-11-09T00:23:52Z,84.0,Charge 4
2021-11-09T00:23:57Z,80.0,Charge 4
2021-11-09T00:24:02Z,81.0,Charge 4
2021-11-09T00:24:12Z,82.0,Charge 4
2021-11-09T00:24:22Z,83.0,Charge 4
2021-11-09T00:24:32Z,82.0,Charge 4
2021-11-09T00:24:37Z,78.0,Charge 4
2021-11-09T00:24:47Z,80.0,Charge 4
2021-11-09T00:24:57Z,80.0,Charge 4
2021-11-09T00:25:02Z,79.0,Charge 4
2021-11-09T00:25:07Z,81.0,Charge 4
2021-11-09T00:25:12Z,83.0,Charge 4
2021-11-09T00:25:17Z,84.0,Charge 4
2021-11-09T00:25:22Z,85.0,Charge 4
2021-11-09T00:25:27Z,88.0,Charge 4
2021-11-09T00:25:32Z,85.0,Charge 4
2021-11-09T00:25:37Z,82.0,Charge 4
2021-11-09T00:25:42Z,82.0,Charge 4
2021-11-09T00:25:47Z,81.0,Charge 4
2021-11-09T00:25:53Z,81.0,Charge 4
2021-11-09T00:25:58Z,80.0,Charge 4
2021-11-09T00:26:03Z,82.0,Charge 4
2021-11-09T00:26:13Z,83.0,Charge 4
2021-11-09T00:26:18Z,82.0,Charge 4
2021-11-09T00:26:23Z,80.0,Charge 4
2021-11-09T00:26:28Z,79.0,Charge 4
2021-11-09T00:26:33Z,77.0,Charge 4
2021-11-09T00:26:48Z,77.0,Charge 4
2021-11-09T00:26:53Z,79.0,Charge 4
2021-11-09T00:26:58Z,80.0,Charge 4
2021-11-09T00:27:08Z,81.0,Charge 4
2021-11-09T00:27:18Z,82.0,Charge 4
2021-11-09T00:27:23Z,83.0,Charge 4
2021-11-09T00:27:33Z,81.0,Charge 4
2021-11-09T00:27:38Z,80.0,Charge 4
2021-11-09T00:27:43Z,79.0,Charge 4
2021-11-09T00:27:53Z,78.0,Charge 4
2021-11-09T00:27:58Z,78.0,Charge 4
2021-11-09T00:28:08Z,80.0,Charge 4
2021-11-09T00:28:18Z,84.0,Charge 4
2021-11-09T00:28:23Z,91.0,Charge 4
2021-11-09T00:28:28Z,90.0,Charge 4
2021-11-09T00:28:33Z,84.0,Charge 4
2021-11-09T00:28:38Z,81.0,Charge 4
2021-11-09T00:28:43Z,78.0,Charge 4
2021-11-09T00:28:48Z,77.0,Charge 4
2021-11-09T00:28:53Z,79.0,Charge 4
2021-11-09T00:28:58Z,79.0,Charge 4
2021-11-09T00:29:03Z,78.0,Charge 4
2021-11-09T00:29:08Z,79.0,Charge 4
2021-11-09T00:29:18Z,78.0,Charge 4
2021-11-09T00:29:23Z,77.0,Charge 4
2021-11-09T00:29:38Z,78.0,Charge 4
2021-11-09T00:29:43Z,76.0,Charge 4
2021-11-09T00:29:48Z,75.0,Charge 4
2021-11-09T00:29:53Z,73.0,Charge 4
2021-11-09T00:30:03Z,75.0,Charge 4
2021-11-09T00:30:08Z,78.0,Charge 4
2021-11-09T00:30:13Z,79.0,Charge 4
2021-11-09T00:30:18Z,80.0,Charge 4
2021-11-09T00:30:23Z,82.0,Charge 4
2021-11-09T00:30:28Z,83.0,Charge 4
2021-11-09T00:30:33Z,84.0,Charge 4
2021-11-09T00:30:38Z,86.0,Charge 4
2021-11-09T00:30:43Z,87.0,Charge 4
2021-11-09T00:30:48Z,93.0,Charge 4
2021-11-09T00:30:53Z,91.0,Charge 4
2021-11-09T00:30:58Z,86.0,Charge 4
2021-11-09T00:31:03Z,85.0,Charge 4
2021-11-09T00:31:08Z,85.0,Charge 4
2021-11-09T00:31:18Z,85.0,Charge 4
2021-11-09T00:31:28Z,82.0,Charge 4
2021-11-09T00:31:33Z,77.0,Charge 4
2021-11-09T00:31:39Z,77.0,Charge 4
2021-11-09T00:31:44Z,79.0,Charge 4
2021-11-09T00:31:49Z,78.0,Charge 4
2021-11-09T00:31:54Z,76.0,Charge 4
2021-11-09T00:32:04Z,78.0,Charge 4
2021-11-09T00:32:09Z,79.0,Charge 4
2021-11-09T00:32:14Z,78.0,Charge 4
2021-11-09T00:32:19Z,76.0,Charge 4
2021-11-09T00:32:24Z,78.0,Charge 4
2021-11-09T00:32:29Z,79.0,Charge 4
2021-11-09T00:32:34Z,80.0,Charge 4
2021-11-09T00:32:39Z,81.0,Charge 4
2021-11-09T00:32:49Z,82.0,Charge 4
2021-11-09T00:32:54Z,84.0,Charge 4
2021-11-09T00:32:59Z,80.0,Charge 4
2021-11-09T00:33:04Z,78.0,Charge 4
2021-11-09T00:33:09Z,80.0,Charge 4
2021-11-09T00:33:19Z,79.0,Charge 4
2021-11-09T00:33:34Z,78.0,Charge 4
2021-11-09T00:33:44Z,79.0,Charge 4
2021-11-09T00:33:49Z,81.0,Charge 4
2021-11-09T00:33:54Z,82.0,Charge 4
2021-11-09T00:33:59Z,83.0,Charge 4
2021-11-09T00:34:14Z,83.0,Charge 4
2021-11-09T00:34:19Z,84.0,Charge 4
2021-11-09T00:34:29Z,87.0,Charge 4
2021-11-09T00:34:34Z,92.0,Charge 4
2021-11-09T00:34:39Z,90.0,Charge 4
2021-11-09T00:34:44Z,87.0,Charge 4
2021-11-09T00:34:49Z,82.0,Charge 4
2021-11-09T00:34:54Z,79.0,Charge 4
2021-11-09T00:34:59Z,76.0,Charge 4
2021-11-09T00:35:04Z,75.0,Charge 4
2021-11-09T00:35:09Z,76.0,Charge 4
2021-11-09T00:35:19Z,77.0,Charge 4
2021-11-09T00:35:24Z,79.0,Charge 4
2021-11-09T00:35:29Z,80.0,Charge 4
2021-11-09T00:35:39Z,81.0,Charge 4
2021-11-09T00:35:44Z,82.0,Charge 4
2021-11-09T00:35:49Z,81.0,Charge 4
2021-11-09T00:35:54Z,79.0,Charge 4
2021-11-09T00:35:59Z,80.0,Charge 4
2021-11-09T00:36:04Z,81.0,Charge 4
2021-11-09T00:36:09Z,80.0,Charge 4
2021-11-09T00:36:24Z,80.0,Charge 4
2021-11-09T00:36:29Z,79.0,Charge 4
2021-11-09T00:36:39Z,81.0,Charge 4
2021-11-09T00:36:54Z,81.0,Charge 4
2021-11-09T00:36:59Z,79.0,Charge 4
2021-11-09T00:37:14Z,79.0,Charge 4
