timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2024-01-01T18:10:00Z,12.695,0.0,Fitbit App
2024-01-01T18:15:00Z,11.467,0.0,Fitbit App
2024-01-01T18:20:00Z,12.447,0.0,Fitbit App
2024-01-01T18:25:00Z,14.348,0.0,Fitbit App
2024-01-01T18:30:00Z,15.136,0.0,Fitbit App
2024-01-01T18:35:00Z,15.212,0.0,Fitbit App
2024-01-01T18:40:00Z,14.816,0.0,Fitbit App
2024-01-01T18:45:00Z,13.952,0.0,Fitbit App
2024-01-01T18:50:00Z,13.465,0.0,Fitbit App
2024-01-01T18:55:00Z,11.176,0.0,Fitbit App
2024-01-01T19:00:00Z,11.607,0.0,Fitbit App
2024-01-01T19:15:00Z,8.805,0.0,Fitbit App
2024-01-01T19:20:00Z,9.017,0.0,Fitbit App
2024-01-01T19:25:00Z,8.737,0.0,Fitbit App
2024-01-01T19:30:00Z,8.773,0.0,Fitbit App
2024-01-01T19:35:00Z,9.507,0.0,Fitbit App
2024-01-01T19:40:00Z,9.721,0.0,Fitbit App
2024-01-01T19:45:00Z,10.103,0.0,Fitbit App
2024-01-01T19:50:00Z,10.404,0.0,Fitbit App
2024-01-01T19:55:00Z,8.763,0.0,Fitbit App
2024-01-01T20:00:00Z,11.079,0.0,Fitbit App
2024-01-01T20:05:00Z,15.18,0.0,Fitbit App
2024-01-01T20:10:00Z,17.322,0.0,Fitbit App
2024-01-01T20:15:00Z,17.551,0.0,Fitbit App
2024-01-01T20:20:00Z,17.083,0.0,Fitbit App
2024-01-01T20:25:00Z,15.678,0.0,Fitbit App
2024-01-01T20:30:00Z,19.167,0.0,Fitbit App
2024-01-01T20:35:00Z,16.368,0.0,Fitbit App
2024-01-01T20:40:00Z,15.637,0.0,Fitbit App
2024-01-01T20:45:00Z,15.041,0.0,Fitbit App
2024-01-01T20:50:00Z,13.482,0.0,Fitbit App
2024-01-01T20:55:00Z,10.894,0.0,Fitbit App
2024-01-01T21:00:00Z,11.168,0.0,Fitbit App
2024-01-01T21:05:00Z,11.026,0.0,Fitbit App
2024-01-01T21:10:00Z,12.901,0.0,Fitbit App
2024-01-01T21:15:00Z,14.948,0.0,Fitbit App
2024-01-01T21:20:00Z,14.897,0.0,Fitbit App
2024-01-01T21:25:00Z,15.253,0.0,Fitbit App
2024-01-01T21:30:00Z,15.275,0.0,Fitbit App
2024-01-01T21:35:00Z,17.306,0.0,Fitbit App
2024-01-01T21:40:00Z,14.725,0.0,Fitbit App
2024-01-01T21:45:00Z,18.254,0.0,Fitbit App
2024-01-01T21:50:00Z,14.163,0.0,Fitbit App
2024-01-01T21:55:00Z,13.166,0.0,Fitbit App
2024-01-01T22:00:00Z,11.241,0.0,Fitbit App
2024-01-01T22:05:00Z,14.181,0.0,Fitbit App
2024-01-01T22:10:00Z,9.77,0.0,Fitbit App
2024-01-01T22:15:00Z,10.373,0.0,Fitbit App
2024-01-01T22:20:00Z,10.434,0.0,Fitbit App
2024-01-01T22:25:00Z,10.2,0.0,Fitbit App
2024-01-01T22:30:00Z,9.349,0.0,Fitbit App
2024-01-01T22:35:00Z,8.266,0.0,Fitbit App
2024-01-01T22:40:00Z,9.946,0.0,Fitbit App
2024-01-01T22:45:00Z,10.796,0.0,Fitbit App
2024-01-01T22:50:00Z,10.732,0.0,Fitbit App
2024-01-01T22:55:00Z,11.051,0.0,Fitbit App
2024-01-01T23:00:00Z,11.291,0.0,Fitbit App
2024-01-01T23:05:00Z,11.889,0.0,Fitbit App
2024-01-01T23:10:00Z,14.802,0.0,Fitbit App
2024-01-01T23:15:00Z,14.989,0.0,Fitbit App
2024-01-01T23:20:00Z,15.461,0.0,Fitbit App
2024-01-01T23:25:00Z,18.991,0.0,Fitbit App
2024-01-01T23:30:00Z,22.478,0.0,Fitbit App
2024-01-01T23:35:00Z,19.359,0.0,Fitbit App
2024-01-01T23:40:00Z,11.214,0.0,Fitbit App
2024-01-01T23:45:00Z,11.202,0.0,Fitbit App
2024-01-01T23:50:00Z,11.401,0.0,Fitbit App
2024-01-01T23:55:00Z,8.576,0.0,Fitbit App
2024-01-02T00:00:00Z,7.901,0.0,Fitbit App
2024-01-02T00:05:00Z,8.27,0.0,Fitbit App
2024-01-02T00:10:00Z,8.952,0.0,Fitbit App
2024-01-02T00:15:00Z,8.289,0.0,Fitbit App
2024-01-02T00:20:00Z,8.911,0.0,Fitbit App
2024-01-02T00:25:00Z,12.277,0.0,Fitbit App
2024-01-02T00:30:00Z,11.745,0.0,Fitbit App
2024-01-02T00:35:00Z,10.277,0.0,Fitbit App
2024-01-02T00:40:00Z,9.435,0.0,Fitbit App
2024-01-02T00:45:00Z,9.06,0.0,Fitbit App
2024-01-02T00:50:00Z,10.142,0.0,Fitbit App
2024-01-02T00:55:00Z,11.186,0.0,Fitbit App
2024-01-02T01:00:00Z,11.654,0.0,Fitbit App
2024-01-02T05:35:00Z,17.904,0.0,Fitbit App
2024-01-02T05:40:00Z,15.644,0.0,Fitbit App
2024-01-02T05:45:00Z,15.433,0.0,Fitbit App
2024-01-02T05:50:00Z,15.839,0.0,Fitbit App
2024-01-02T05:55:00Z,13.574,0.0,Fitbit App
2024-01-02T06:00:00Z,10.706,0.0,Fitbit App
2024-01-02T06:05:00Z,9.454,0.0,Fitbit App
2024-01-02T06:10:00Z,8.67,0.0,Fitbit App
2024-01-02T06:15:00Z,9.764,0.0,Fitbit App
2024-01-02T06:20:00Z,9.717,0.0,Fitbit App
2024-01-02T06:25:00Z,9.123,0.0,Fitbit App
2024-01-02T06:30:00Z,10.939,0.0,Fitbit App
2024-01-02T06:35:00Z,12.085,0.0,Fitbit App
2024-01-02T06:40:00Z,11.668,0.0,Fitbit App
2024-01-02T06:45:00Z,11.298,0.0,Fitbit App
2024-01-02T06:50:00Z,14.048,0.0,Fitbit App
2024-01-02T06:55:00Z,16.533,0.0,Fitbit App
2024-01-02T07:00:00Z,17.251,0.0,Fitbit App
2024-01-02T07:05:00Z,16.909,0.0,Fitbit App
2024-01-02T07:10:00Z,16.269,0.0,Fitbit App
2024-01-02T07:15:00Z,16.462,0.0,Fitbit App
2024-01-02T07:20:00Z,16.053,0.0,Fitbit App
2024-01-02T07:25:00Z,16.816,0.0,Fitbit App
2024-01-02T07:30:00Z,12.365,0.0,Fitbit App
2024-01-02T07:35:00Z,8.799,0.0,Fitbit App
2024-01-02T07:40:00Z,12.478,0.0,Fitbit App
2024-01-02T07:45:00Z,13.298,0.0,Fitbit App
2024-01-02T07:50:00Z,14.721,0.0,Fitbit App
2024-01-02T07:55:00Z,12.53,0.0,Fitbit App
2024-01-02T08:00:00Z,11.865,0.0,Fitbit App
2024-01-02T08:05:00Z,12.96,0.0,Fitbit App
2024-01-02T08:10:00Z,12.28,0.0,Fitbit App
2024-01-02T08:15:00Z,12.469,0.0,Fitbit App
2024-01-02T08:20:00Z,13.704,0.0,Fitbit App
2024-01-02T08:25:00Z,15.528,0.0,Fitbit App
2024-01-02T08:30:00Z,16.752,0.0,Fitbit App
2024-01-02T08:35:00Z,21.227,0.0,Fitbit App
2024-01-02T08:40:00Z,17.247,0.0,Fitbit App
2024-01-02T08:45:00Z,17.009,0.0,Fitbit App
2024-01-02T08:50:00Z,18.913,0.0,Fitbit App
2024-01-02T08:55:00Z,18.751,0.0,Fitbit App
2024-01-02T09:00:00Z,19.327,0.0,Fitbit App
2024-01-02T09:05:00Z,17.94,0.0,Fitbit App
2024-01-02T09:10:00Z,18.38,0.0,Fitbit App
2024-01-02T09:15:00Z,18.812,0.0,Fitbit App
2024-01-02T09:20:00Z,16.483,0.0,Fitbit App
2024-01-02T09:25:00Z,21.477,0.0,Fitbit App
2024-01-02T09:30:00Z,17.092,0.0,Fitbit App
2024-01-02T09:35:00Z,15.093,0.0,Fitbit App
2024-01-02T09:40:00Z,14.799,0.0,Fitbit App
2024-01-02T09:45:00Z,14.836,0.0,Fitbit App
2024-01-02T09:50:00Z,14.689,0.0,Fitbit App
2024-01-02T09:55:00Z,15.504,0.0,Fitbit App
2024-01-02T10:00:00Z,15.355,0.0,Fitbit App
2024-01-02T10:05:00Z,14.081,0.0,Fitbit App
2024-01-02T10:10:00Z,14.383,0.0,Fitbit App
2024-01-02T10:15:00Z,13.529,0.0,Fitbit App
2024-01-02T10:20:00Z,14.411,0.0,Fitbit App
2024-01-02T10:25:00Z,14.274,0.0,Fitbit App
2024-01-02T10:30:00Z,15.247,0.0,Fitbit App
2024-01-02T10:35:00Z,15.078,0.0,Fitbit App
2024-01-02T10:40:00Z,15.878,0.0,Fitbit App
