timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T08:27:08Z,0,0,0,Charge 6
2025-01-07T08:27:09Z,2,0,0,Charge 6
2025-01-07T08:27:10Z,2,190,0,Charge 6
2025-01-07T08:27:11Z,2,310,0,Charge 6
2025-01-07T08:27:12Z,2,470,0,Charge 6
2025-01-07T08:27:13Z,3,680,0,Charge 6
2025-01-07T08:27:14Z,2,830,0,Charge 6
2025-01-07T08:27:15Z,2,960,0,Charge 6
2025-01-07T08:27:16Z,3,1090,0,Charge 6
2025-01-07T08:27:17Z,2,1190,0,Charge 6
2025-01-07T08:27:18Z,3,1260,0,Charge 6
2025-01-07T08:27:19Z,3,1640,0,Charge 6
2025-01-07T08:27:20Z,2,2110,0,Charge 6
2025-01-07T08:27:21Z,2,2130,0,Charge 6
2025-01-07T08:27:22Z,2,2130,0,Charge 6
2025-01-07T08:27:23Z,2,2090,0,Charge 6
2025-01-07T08:27:24Z,2,2030,0,Charge 6
2025-01-07T08:27:25Z,3,2010,0,Charge 6
2025-01-07T08:27:26Z,2,2010,0,Charge 6
2025-01-07T08:27:27Z,2,2000,0,Charge 6
2025-01-07T08:27:28Z,2,2000,0,Charge 6
2025-01-07T08:27:29Z,2,1990,0,Charge 6
2025-01-07T08:27:30Z,3,1990,0,Charge 6
2025-01-07T08:27:31Z,2,2000,0,Charge 6
2025-01-07T08:27:32Z,2,1990,0,Charge 6
2025-01-07T08:27:33Z,2,2030,0,Charge 6
2025-01-07T08:27:34Z,2,2030,0,Charge 6
2025-01-07T08:27:35Z,2,2020,0,Charge 6
2025-01-07T08:27:36Z,2,2020,0,Charge 6
2025-01-07T08:27:37Z,3,2020,0,Charge 6
2025-01-07T08:27:38Z,2,2020,0,Charge 6
2025-01-07T08:27:39Z,2,2020,0,Charge 6
2025-01-07T08:27:40Z,2,2030,0,Charge 6
2025-01-07T08:27:41Z,2,2020,0,Charge 6
2025-01-07T08:27:42Z,3,2020,0,Charge 6
2025-01-07T08:27:43Z,2,2030,0,Charge 6
2025-01-07T08:27:44Z,2,2020,0,Charge 6
2025-01-07T08:27:45Z,2,2020,0,Charge 6
2025-01-07T08:27:46Z,2,2030,0,Charge 6
2025-01-07T08:27:47Z,2,2010,0,Charge 6
