start time,end time,brand name,food name,meal type,nutrients,data source
2020-08-22T00:00:00Z,2020-08-22T00:01:00Z,MyFitnessPal,Lunch Summary,LUNCH,PROTEIN: 129.00 GRAM; SATURATED_FAT: 3.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 0.00 MILLIGRAM; SODIUM: 408.00 MILLIGRAM; POTASSIUM: 338.00 MILLIGRAM; DIETARY_FIBER: 8.00 GRAM; SUGAR: 11.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-23T00:00:00Z,2020-08-23T00:01:00Z,MyFitnessPal,Dinner Summary,DINNER,PROTEIN: 35.00 GRAM; SATURATED_FAT: 18.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 24.00 MILLIGRAM; SODIUM: 160.00 MILLIGRAM; POTASSIUM: 0.00 MILLIGRAM; DIETARY_FIBER: 2.00 GRAM; SUGAR: 50.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-24T00:00:00Z,2020-08-24T00:01:00Z,MyFitnessPal,Breakfast Summary,BREAKFAST,PROTEIN: 0.00 GRAM; SATURATED_FAT: 0.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 0.00 MILLIGRAM; SODIUM: 0.00 MILLIGRAM; POTASSIUM: 0.00 MILLIGRAM; DIETARY_FIBER: 0.00 GRAM; SUGAR: 0.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-25T00:00:00Z,2020-08-25T00:01:00Z,MyFitnessPal,Dinner Summary,DINNER,PROTEIN: 23.00 GRAM; SATURATED_FAT: 25.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 0.00 MILLIGRAM; SODIUM: 40.00 MILLIGRAM; POTASSIUM: 18.00 MILLIGRAM; DIETARY_FIBER: 7.00 GRAM; SUGAR: 50.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-26T00:00:00Z,2020-08-26T00:01:00Z,MyFitnessPal,Lunch Summary,LUNCH,PROTEIN: 8.00 GRAM; SATURATED_FAT: 4.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 0.00 MILLIGRAM; SODIUM: 339.00 MILLIGRAM; POTASSIUM: 861.00 MILLIGRAM; DIETARY_FIBER: 17.00 GRAM; SUGAR: 3.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-27T00:00:00Z,2020-08-27T00:01:00Z,MyFitnessPal,Dinner Summary,DINNER,PROTEIN: 63.00 GRAM; SATURATED_FAT: 20.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 170.00 MILLIGRAM; SODIUM: 744.00 MILLIGRAM; POTASSIUM: 881.00 MILLIGRAM; DIETARY_FIBER: 16.00 GRAM; SUGAR: 13.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-28T00:00:00Z,2020-08-28T00:01:00Z,MyFitnessPal,Breakfast Summary,BREAKFAST,PROTEIN: 0.00 GRAM; SATURATED_FAT: 0.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 0.00 MILLIGRAM; SODIUM: 0.00 MILLIGRAM; POTASSIUM: 0.00 MILLIGRAM; DIETARY_FIBER: 0.00 GRAM; SUGAR: 0.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-29T00:00:00Z,2020-08-29T00:01:00Z,MyFitnessPal,Breakfast Summary,BREAKFAST,PROTEIN: 30.00 GRAM; SATURATED_FAT: 10.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 53.00 MILLIGRAM; SODIUM: 835.00 MILLIGRAM; POTASSIUM: 339.00 MILLIGRAM; DIETARY_FIBER: 0.00 GRAM; SUGAR: 2.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-30T00:00:00Z,2020-08-30T00:01:00Z,MyFitnessPal,Lunch Summary,LUNCH,PROTEIN: 53.00 GRAM; SATURATED_FAT: 0.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 5.00 MILLIGRAM; SODIUM: 458.00 MILLIGRAM; POTASSIUM: 427.00 MILLIGRAM; DIETARY_FIBER: 2.00 GRAM; SUGAR: 18.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM,Fitbit App
2020-08-31T00:00:00Z,2020-08-31T00:01:00Z,MyFitnessPal,Dinner Summary,DINNER,"PROTEIN: 71.00 GRAM; SATURATED_FAT: 3.00 GRAM; TRANS_FAT: 0.00 GRAM; CHOLESTEROL: 137.00 MILLIGRAM; SODIUM: 4,107.00 MILLIGRAM; POTASSIUM: 0.00 MILLIGRAM; DIETARY_FIBER: 12.00 GRAM; SUGAR: 38.00 GRAM; BIOTIN: 0.00 MILLIGRAM; CALCIUM: 0.00 GRAM; COPPER: 0.00 MILLIGRAM; FOLIC_ACID: 0.00 MILLIGRAM; IODINE: 0.00 MICROGRAM; IRON: 0.00 MILLIGRAM; MAGNESIUM: 0.00 MILLIGRAM; NIACIN: 0.00 MILLIGRAM; PANTOTHENIC_ACID: 0.00 MILLIGRAM; PHOSPHORUS: 0.00 GRAM; RIBOFLAVIN: 0.00 MILLIGRAM; THIAMIN: 0.00 MILLIGRAM; VITAMIN_A: 0.00 MICROGRAM; VITAMIN_B12: 0.00 MICROGRAM; VITAMIN_B6: 0.00 MILLIGRAM; VITAMIN_C: 0.00 MILLIGRAM; VITAMIN_D: 0.00 MICROGRAM; VITAMIN_E: 0.00 MILLIGRAM; ZINC: 0.00 MILLIGRAM",Fitbit App
