start time,end time,data source
2025-10-27T06:07:00Z,2025-10-27T06:21:00Z,Fitbit App
2025-10-27T06:25:00Z,2025-10-27T06:35:00Z,Fitbit App
2025-10-27T06:54:00Z,2025-10-27T07:22:00Z,Fitbit App
2025-10-27T07:39:00Z,2025-10-27T07:59:00Z,Fitbit App
2025-10-27T08:20:00Z,2025-10-27T09:59:00Z,Fitbit App
2025-10-27T10:04:00Z,2025-10-27T10:39:00Z,Fitbit App
2025-10-27T10:53:00Z,2025-10-27T11:25:00Z,Fitbit App
2025-10-27T11:49:00Z,2025-10-27T13:16:00Z,Fitbit App
2025-10-27T13:25:00Z,2025-10-27T13:58:00Z,Fitbit App
2025-10-27T13:59:00Z,2025-10-27T14:17:00Z,Fitbit App
2025-10-27T14:21:00Z,2025-10-27T15:10:00Z,Fitbit App
2025-10-27T15:13:00Z,2025-10-27T15:44:00Z,Fitbit App
2025-10-27T16:09:00Z,2025-10-27T16:22:00Z,Fitbit App
2025-10-27T16:23:00Z,2025-10-27T16:43:00Z,Fitbit App
2025-10-27T17:37:00Z,2025-10-27T18:21:00Z,Fitbit App
2025-10-27T18:25:00Z,2025-10-27T19:59:00Z,Fitbit App
2025-10-27T20:30:00Z,2025-10-27T21:13:00Z,Fitbit App
2025-10-27T21:19:00Z,2025-10-27T22:01:00Z,Fitbit App
2025-10-27T22:06:00Z,2025-10-27T22:24:00Z,Fitbit App
2025-10-27T23:00:00Z,2025-10-27T23:34:00Z,Fitbit App
2025-10-27T23:35:00Z,2025-10-28T00:01:00Z,Fitbit App
