DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-07-04T00:00:00,2021-07-05T15:12:03.694,63,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2021-07-05T00:00:00,2021-07-05T15:12:08.587,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2021-07-06T00:00:00,2021-07-06T06:51:24.27,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2021-07-07T00:00:00,2021-07-07T06:04:08.229,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2021-07-08T00:00:00,2021-07-08T06:46:39.194,80,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-06-04T00:00:00,2023-06-04T08:52:31.726,0,0,0,0,0,0,0,NO_DATA,true
2023-06-05T00:00:00,2023-06-05T07:19:19.867,63,21,30,22,30,20,40,READY,false
2023-06-06T00:00:00,2023-06-06T05:48:48.888,57,16,30,17,30,24,40,READY,false
2023-06-07T00:00:00,2023-06-07T04:22:48.377,68,18,30,23,30,27,40,READY,false
2023-06-08T00:00:00,2023-06-08T05:29:08.358,72,21,30,26,30,25,40,READY,false
2023-06-09T00:00:00,2023-06-09T08:34:10.343,74,24,30,20,30,30,40,READY,false
2023-06-10T00:00:00,2023-06-10T07:23:43.887,72,24,30,23,30,25,40,READY,false
2023-06-11T00:00:00,2023-06-11T07:16:55.599,70,21,30,22,30,27,40,READY,false
2023-06-12T00:00:00,2023-06-12T06:52:21.061,77,30,30,22,30,25,40,READY,false
2023-06-13T00:00:00,2023-06-13T07:22:44.173,73,21,30,26,30,26,40,READY,false
2023-06-14T00:00:00,2023-06-14T06:47:22.115,76,27,30,21,30,28,40,READY,false
2023-06-15T00:00:00,2023-06-15T06:05:29.569,78,27,30,25,30,26,40,READY,false
2023-06-16T00:00:00,2023-06-16T05:19:26.8,75,25,30,25,30,25,40,READY,false
2023-06-17T00:00:00,2023-06-17T08:03:09.62,73,25,30,26,30,22,40,READY,false
2023-06-18T00:00:00,2023-06-18T07:18:50.682,81,30,30,26,30,25,40,READY,false
2023-06-19T00:00:00,2023-06-19T06:27:30.999,75,28,30,24,30,23,40,READY,false
2023-06-20T00:00:00,2023-06-20T05:33:29.614,0,0,0,0,0,0,0,NO_DATA,true
2023-06-21T00:00:00,2023-06-21T05:34:57.281,77,28,30,25,30,24,40,READY,false
2023-06-22T00:00:00,2023-06-22T05:12:04.738,78,29,30,28,30,21,40,READY,false
2023-06-23T00:00:00,2023-06-23T05:03:45.666,74,25,30,28,30,21,40,READY,false
2023-06-24T00:00:00,2023-06-24T05:57:17.136,73,27,30,21,30,25,40,READY,false
2023-06-25T00:00:00,2023-06-25T17:26:32.878,69,22,30,22,30,25,40,READY,false
2023-06-26T00:00:00,2023-06-26T05:25:19.372,77,29,30,27,30,21,40,READY,false
2023-06-27T00:00:00,2023-06-27T05:01:54.679,71,23,30,27,30,21,40,READY,false
2023-06-28T00:00:00,2023-06-28T06:25:49.512,82,29,30,27,30,26,40,READY,false
2023-06-29T00:00:00,2023-06-29T05:51:51.191,74,28,30,20,30,26,40,READY,false
2023-06-30T00:00:00,2023-06-30T05:56:48.631,71,27,30,19,30,25,40,READY,false
2023-07-01T00:00:00,2023-07-01T07:38:50.034,76,27,30,27,30,22,40,READY,false
2023-07-02T00:00:00,2023-07-02T06:14:43.955,70,24,30,25,30,21,40,READY,false
2023-07-03T00:00:00,2023-07-03T05:14:33.443,62,22,30,19,30,21,40,READY,false
2023-07-04T00:00:00,2023-07-04T05:12:48.188,76,27,30,25,30,24,40,READY,false
2023-07-05T00:00:00,2023-07-05T06:18:25.599,68,19,30,21,30,28,40,READY,false
2023-07-06T00:00:00,2023-07-06T05:32:40.35,78,29,30,25,30,24,40,READY,false
2023-07-07T00:00:00,2023-07-07T06:19:02.003,69,21,30,22,30,26,40,READY,false
2023-07-08T00:00:00,2023-07-08T07:30:22.912,67,23,30,20,30,24,40,READY,false
2023-07-10T00:00:00,2023-07-10T06:15:21.627,0,0,0,0,0,0,0,NO_DATA,true
2023-07-11T00:00:00,2023-07-11T05:34:38.728,68,22,30,19,30,27,40,READY,false
2023-07-12T00:00:00,2023-07-12T06:24:46.278,68,21,30,21,30,26,40,READY,false
2023-07-13T00:00:00,2023-07-13T05:53:47.26,77,27,30,26,30,24,40,READY,false
2023-07-14T00:00:00,2023-07-14T05:38:38.468,71,27,30,23,30,21,40,READY,false
2023-07-15T00:00:00,2023-07-15T06:31:05.228,71,26,30,24,30,21,40,READY,false
2023-07-16T00:00:00,2023-07-16T07:45:10.888,70,25,30,22,30,23,40,READY,false
2023-07-19T00:00:00,2023-07-19T04:14:52.177,67,19,30,23,30,25,40,READY,false
2023-07-20T00:00:00,2023-07-20T05:03:26.914,68,23,30,23,30,22,40,READY,false
2023-07-21T00:00:00,2023-07-21T06:26:26.497,63,19,30,20,30,24,40,READY,false
2023-07-22T00:00:00,2023-07-22T06:13:48.813,67,22,30,23,30,22,40,READY,false
2023-07-23T00:00:00,2023-07-23T09:10:05.817,68,21,30,24,30,23,40,READY,false
2023-07-24T00:00:00,2023-07-24T06:50:21.524,75,28,30,18,30,29,40,READY,false
2023-07-25T00:00:00,2023-07-25T06:46:04.963,74,22,30,23,30,29,40,READY,false
2023-07-26T00:00:00,2023-07-26T07:57:52.146,80,26,30,26,30,28,40,READY,false
2023-07-27T00:00:00,2023-07-27T12:25:21.684,77,24,30,25,30,28,40,READY,false
2023-07-28T00:00:00,2023-07-28T09:31:57.246,79,26,30,25,30,28,40,READY,false
2023-07-29T00:00:00,2023-07-29T09:47:25.72,75,21,30,26,30,28,40,READY,false
2023-07-30T00:00:00,2023-07-30T10:39:35.669,76,25,30,26,30,25,40,READY,false
2023-07-31T00:00:00,2023-07-31T17:17:41.013,70,23,30,24,30,23,40,READY,false
2023-08-01T00:00:00,2023-08-01T11:58:40.733,0,0,0,0,0,0,0,NO_DATA,true
2023-08-02T00:00:00,2023-08-02T12:04:19.179,0,0,0,0,0,0,0,NO_DATA,true
2023-08-03T00:00:00,2023-08-03T13:26:08.155,0,0,0,0,0,0,0,NO_DATA,true
2023-08-04T00:00:00,2023-08-04T12:30:16.592,0,0,0,0,0,0,0,NO_DATA,true
2023-08-05T00:00:00,2023-08-05T13:17:34.166,0,0,0,0,0,0,0,NO_DATA,true
2023-08-06T00:00:00,2023-08-06T13:02:56.909,0,0,0,0,0,0,0,NO_DATA,true
2023-08-07T00:00:00,2023-08-07T12:44:46.103,0,0,0,0,0,0,0,NO_DATA,true
2023-08-08T00:00:00,2023-08-08T13:12:55.153,0,0,0,0,0,0,0,NO_DATA,true
2023-08-09T00:00:00,2023-08-09T13:11:54.207,0,0,0,0,0,0,0,NO_DATA,true
2023-08-10T00:00:00,2023-08-10T11:53:52.152,0,0,0,0,0,0,0,NO_DATA,true
2023-08-11T00:00:00,2023-08-11T14:18:47.951,68,24,30,17,30,27,40,READY,false
2023-08-12T00:00:00,2023-08-12T13:08:30.192,76,23,30,25,30,28,40,READY,false
2023-08-13T00:00:00,2023-08-13T23:07:01.61,70,22,30,19,30,29,40,READY,false
2023-08-14T00:00:00,2023-08-14T12:38:31.013,75,27,30,19,30,29,40,READY,false
2023-08-15T00:00:00,2023-08-15T22:26:35.135,69,21,30,19,30,29,40,READY,false
2023-08-16T00:00:00,2023-08-16T12:08:59.623,77,27,30,23,30,27,40,READY,false
2023-08-17T00:00:00,2023-08-17T11:42:17.261,72,26,30,21,30,25,40,READY,false
2023-08-18T00:00:00,2023-08-18T11:31:47.944,74,29,30,20,30,25,40,READY,false
