type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-03-01T23:39,2023-03-02T07:23:30,465,29.55462365591398,-596.0507389162558,1217.8480072313687,0.5804615956847801,1.3587530945723476
IDT,2023-03-02T23:11,2023-03-03T07:31:30,501,30.48243512974052,-174.1535211267601,238.98325133905746,0.5780226085281275,1.352383064684651
IDT,2023-03-03T23:29:30,2023-03-04T07:58:30,509,31.366994106090374,273.3061032863825,995.7564363331767,0.5783162355599804,1.3550440024721113
IDT,2023-03-04T22:10:30,2023-03-05T07:46:30,576,29.890972222222224,-536.1444646097989,1339.8997342565563,0.5951818483931172,1.3618735470655199
IDT,2023-03-05T22:51:30,2023-03-06T06:47,475,29.314947368421052,-706.2151326053026,1692.1024284646846,0.6421819672332741,1.3729531113779028
IDT,2023-03-07T00:04:30,2023-03-07T07:27,442,30.0210407239819,-326.7922077922103,701.5677761848783,0.651342412882958,1.3562047606230214
IDT,2023-03-07T23:16:30,2023-03-08T07:07,470,30.70191489361702,-15.989292196007227,630.172228648793,0.650023693749918,1.348237210556818
IDT,2023-03-08T23:28:30,2023-03-09T06:54,445,31.076629213483145,151.60907441016388,399.7093290865887,0.6534526749207058,1.3377823846676293
IDT,2023-03-09T22:48,2023-03-10T07:38:30,529,30.844801512287333,57.59056261342994,1218.4979071874404,0.6484973905531707,1.353945319868838
IDT,2023-03-11T00:52:30,2023-03-11T10:07:30,555,30.283603603603602,-241.60325230721355,575.6958045503125,0.6389399113714103,1.3394436469627
IDT,2023-03-11T23:07,2023-03-12T07:42,515,31.430485436893203,351.39649928111794,880.4373974893242,0.631605190551555,1.3313423582483839
IDT,2023-03-13T01:37:30,2023-03-13T05:40,242,30.4,-84.25523723100832,344.8944834746653,0.5979505509995166,1.316827875336903
IDT,2023-03-13T22:49,2023-03-14T08:11:30,559,30.435957066189626,-158.1789514229422,964.9067990577314,0.5909315553556452,1.308902917759643
IDT,2023-03-14T22:39,2023-03-15T07:49:30,551,30.497640653357532,-106.64874366767981,1642.029318558867,0.5910760541465782,1.3219448419483648
IDT,2023-03-15T23:13,2023-03-16T05:41,388,30.67139175257732,-7.683870314083833,1165.2846182036446,0.5767298308343938,1.3460376549885122
IDT,2023-03-16T22:32,2023-03-17T07:59:30,568,30.235563380281693,-250.1304958271976,871.4317340541165,0.5596988492006351,1.3382054421082317
IDT,2023-03-17T22:59:30,2023-03-18T08:02,542,31.27952029520295,327.14378743249836,973.5421912467573,0.5725233994383752,1.3275957049604576
IDT,2023-03-18T23:00,2023-03-19T08:15,555,31.06612612612613,216.55664580265147,1225.1818753897678,0.5074910648574846,1.3195975679323932
IDT,2023-03-19T22:37:30,2023-03-20T07:28:30,531,29.512994350282487,-603.4582277813988,1344.1841670001158,0.5377462593175992,1.3111517000422084
IDT,2023-03-20T22:23:30,2023-03-21T07:19:30,524,29.974045801526717,-308.389286123911,810.3831141145201,0.547360015612885,1.3180156953196893
IDT,2023-03-21T22:20:30,2023-03-22T06:55,514,28.941245136186772,-799.9872958257729,2297.142244129558,0.6117174487498128,1.343972362423593
IDT,2023-03-22T23:25:30,2023-03-23T08:00,514,29.970622568093386,-263.07165668662674,693.3297792837257,0.6135463051061552,1.3402815828463572
IDT,2023-03-24T00:09,2023-03-24T07:53,464,29.939439655172414,-239.87678207739373,435.77875124965794,0.6135219906055093,1.3223020896640947
IDT,2023-03-25T00:27,2023-03-25T07:37,430,30.713023255813955,110.34134419551992,661.7415168345906,0.6107853819672528,1.322841168253346
IDT,2023-03-27T00:07,2023-03-27T08:34:30,503,30.772365805168985,157.52436272356863,1531.8577432435704,0.619651239534537,1.3703832928870607
IDT,2023-03-27T23:45:30,2023-03-28T07:45:30,479,30.768893528183714,133.57184994801537,1833.1937768236967,0.6210569883178167,1.3799722626410533
IDT,2023-03-28T22:43:30,2023-03-29T06:56:30,493,30.87606490872211,190.31131946632922,471.4428769107908,0.6260213134507252,1.3847027900113102
IDT,2023-03-30T00:04,2023-03-30T05:10,306,30.75294117647059,80.44840518599813,373.35250293125864,0.626347381908086,1.398857582705148
IDT,2023-03-30T22:10,2023-03-31T08:29,619,31.330048465266557,515.2604355716867,1252.6879102836829,0.6378257292301679,1.4064127366366628
IDT,2023-03-31T22:57:30,2023-04-01T08:14:30,557,30.813824057450628,79.33479381443249,1104.6033922971692,0.6170815051593471,1.4050539055457494
