Date;Meal;Calories;Fat (g);Saturated Fat;Polyunsaturated Fat;Monounsaturated Fat;Trans Fat;Cholesterol;Sodium (mg);Potassium;Carbohydrates (g);Fiber;Sugar;Protein (g);Vitamin A;Vitamin C;Calcium;Iron;Eating Habits
10/07/2013;Breakfast;4200;265;100;0;0;0;4100;13885;3595;135;35;122;330;230;60;495;190;Baseline
10/07/2013;Dinner;10210;463;130;2;17;0;1176;19796;7714;1106;40;407;432;61;80;194;84;Baseline
10/07/2013;Lunch;4417;138;40;3;0;0;850;1732;10447;273;37;163;556;2631;1597;384;179;Baseline
10/07/2013;Snacks;3400;300;20;70;180;0;0;3000;3800;100;60;20;120;0;0;160;120;Baseline
11/07/2013;Breakfast;4200;265;100;0;0;0;4100;13885;3595;135;35;122;330;230;60;495;190;Baseline
11/07/2013;Dinner;6500;300;45;0;0;0;450;10600;4700;720;50;70;240;20;100;170;190;Baseline
11/07/2013;Lunch;4417;138;40;3;0;0;850;1732;10447;273;37;163;556;2631;1597;384;179;Baseline
11/07/2013;Snacks;3925;303;20;71;180;0;0;3883;7896;223;96;78;132;3081;126;202;141;Baseline
12/07/2013;Breakfast;4900;315;120;0;0;0;5950;14585;4295;145;35;132;390;290;60;515;220;Baseline
12/07/2013;Dinner;12191;157;26;72;53;0;309;7141;5312;913;35;90;143;607;20;36;147;Baseline
12/07/2013;Lunch;2422;12;1;3;0;0;150;1982;14607;369;62;217;281;3871;1737;394;159;Baseline
12/07/2013;Snacks;1700;150;10;35;90;0;0;1500;1900;50;30;10;60;0;0;80;60;Baseline
13/07/2013;Breakfast;5340;140;50;0;0;0;0;6395;400;130;0;105;210;100;0;575;40;Baseline
13/07/2013;Dinner;7720;210;40;0;0;0;1040;24880;6060;489;30;140;410;700;60;60;140;Baseline
13/07/2013;Lunch;6600;155;55;15;10;0;500;14600;2500;1070;50;470;270;60;20;150;220;Baseline
13/07/2013;Snacks;800;75;10;0;0;0;0;35;1795;45;35;2;10;10;60;5;10;Baseline
14/07/2013;Breakfast;6940;270;58;0;0;0;400;17970;400;120;5;110;365;100;0;490;150;Baseline
14/07/2013;Lunch;11530;730;15;0;0;0;10;6100;3500;740;30;0;470;0;0;0;0;Baseline
15/07/2013;Breakfast;6600;210;90;0;0;0;4500;21450;1800;450;0;460;700;220;0;890;220;Baseline
15/07/2013;Dinner;3960;156;24;0;0;0;1308;1182;0;100;20;40;488;362;60;44;148;Baseline
15/07/2013;Lunch;4659;290;50;32;110;0;700;1975;11769;164;65;35;426;2663;1520;230;268;Baseline
15/07/2013;Snacks;1100;0;0;0;0;0;0;500;300;270;0;270;0;0;1000;0;0;Baseline
16/07/2013;Breakfast;6800;265;100;0;0;0;4300;15485;3595;495;35;442;610;230;60;895;190;Baseline
16/07/2013;Dinner;7000;503;151;30;53;0;1500;32718;3223;233;41;106;590;20;90;33;170;Baseline
16/07/2013;Lunch;4059;205;59;2;0;0;1050;1125;13179;94;25;5;496;2663;1520;135;238;Baseline
17/07/2013;Breakfast;4800;150;90;0;0;0;3900;3450;1800;450;0;400;400;220;0;890;100;Baseline
17/07/2013;Dinner;5827;215;91;20;35;0;720;8643;7370;583;52;84;398;203;63;243;226;Baseline
17/07/2013;Lunch;8380;360;96;21;48;0;4142;17594;876;559;3;462;720;339;720;158;304;Baseline
17/07/2013;Snacks;3500;300;20;65;200;0;0;2550;1900;120;70;40;140;0;0;180;120;Baseline
18/07/2013;Breakfast;2220;126;65;0;0;0;3700;1633;2680;159;11;132;124;175;508;270;88;Baseline
18/07/2013;Dinner;12386;223;50;0;0;0;50;950;0;897;46;190;461;40;40;200;0;Baseline
18/07/2013;Lunch;3521;102;31;3;0;0;1100;5217;11547;180;43;49;522;4279;1708;171;269;Baseline
18/07/2013;Snacks;3000;225;15;45;165;0;0;5375;0;165;60;105;120;0;0;150;90;Baseline
19/07/2013;Breakfast;4884;94;20;0;0;0;600;13808;3259;508;29;461;492;40;538;548;106;Baseline
19/07/2013;Dinner;7469;251;40;40;70;0;0;1600;3100;496;53;20;261;20;0;40;60;Baseline
19/07/2013;Lunch;4186;202;58;1;0;0;1050;1329;12782;113;30;49;490;2219;368;96;216;Baseline
19/07/2013;Snacks;2900;150;10;30;110;0;0;2050;0;350;40;300;80;0;0;100;60;Baseline
20/07/2013;Breakfast;4260;180;15;0;0;0;0;20;3960;140;10;20;50;0;0;120;140;Baseline
20/07/2013;Dinner;11833;480;105;80;140;0;300;9200;6200;635;89;40;330;260;100;340;180;Baseline
20/07/2013;Lunch;7200;315;135;0;0;0;675;16200;0;1290;45;90;225;60;30;90;15;Baseline
21/07/2013;Breakfast;6960;210;25;0;0;0;150;12630;0;280;10;20;290;100;60;100;80;Baseline
21/07/2013;Dinner;6540;80;40;0;0;0;720;830;4160;100;20;40;340;350;60;60;160;Baseline
21/07/2013;Lunch;5160;105;45;0;0;0;225;5400;0;439;15;30;75;20;10;30;5;Baseline
22/07/2013;Breakfast;3098;40;0;0;0;0;400;16969;2322;180;0;235;416;0;0;385;82;Baseline
22/07/2013;Dinner;8850;195;80;0;0;0;1450;13400;0;410;50;60;450;440;400;280;140;Baseline
22/07/2013;Lunch;7260;257;56;68;113;0;2060;11960;5420;980;28;28;180;0;100;80;280;Baseline
23/07/2013;Breakfast;1650;0;0;0;0;0;0;1275;0;120;0;135;210;0;0;375;0;Baseline
23/07/2013;Dinner;8160;115;40;0;0;0;720;810;7340;394;52;0;401;0;0;70;270;Baseline
23/07/2013;Lunch;3978;153;40;2;0;0;700;649;5907;300;58;36;364;1140;2670;80;197;Baseline
23/07/2013;Snacks;2500;0;0;0;0;0;0;425;0;700;0;700;0;0;0;0;0;Baseline
13/03/2014;Breakfast;4200;275;138;8;10;0;4950;13050;2125;70;0;35;305;240;0;830;140;Baseline
13/03/2014;Dinner;5185;1;0;0;0;0;0;20825;0;700;88;18;140;70;175;70;175;Baseline
13/03/2014;Lunch;5048;158;49;3;0;0;1027;3714;10362;476;108;133;276;5878;511;130;472;Baseline
