table_name,row_count,earliest_date,latest_date
analytics.daily_metrics,2724,2013-07-10,2026-03-21
analytics.daily_trends,2724,2013-07-10,2026-03-21
analytics.historical_daily_metrics,2724,2013-07-10,2026-03-21
analytics.weekly_metrics,462,2013-07-08,2026-03-16
clean.body_composition,1259,2014-03-12,2026-03-20
clean.fitbit_daily,1985,2020-09-04,2026-03-21
clean.interventions_daily,896,2013-07-10,2026-03-19
clean.nutrition_daily,864,2013-07-10,2026-03-20
clean.training_summary,80,2021-06-29,2026-03-19
raw.fitbit_daily,38,2026-02-12,2026-03-21
raw.fitbit_hrv_history,1397,2021-02-04,2026-02-27
raw.fitbit_sleep_history,1789,2020-09-05,2026-02-28
raw.fitbit_sleep_score,1550,2020-09-05,2026-02-28
raw.hevy_sets,459,,
raw.hevy_workouts,12,2026-03-14 14:41:52.714000,2026-03-19 10:55:09.862000
raw.interventions_daily,896,2013-07-10,2026-03-19
raw.nutrition_daily,864,2013-07-10,2026-03-20
raw.withings_measurements,4188,2014-03-12,2026-03-20
