week_start,target_lift,date,workout_id,exercise_title,weight_kg,reps,estimated_1rm,set_index,set_type,prev_e1rm,e1rm_change_vs_prev,trend
2026-02-16,bench_press,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Bench Press (Dumbbell),37.5,5,43.75,0,normal,,,first_observation
2026-02-16,deadlift,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Barbell Deadlift,110.0,4,124.66666666666666,1,normal,,,first_observation
2026-02-16,overhead_press,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Dumbbell Seated Shoulder Press,32.5,5,37.91666666666667,1,normal,,,first_observation
2026-02-16,pull_up,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Cable Lat Pulldown (Wide Grip),84.0,5,98.0,0,normal,,,first_observation
2026-02-16,row,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Cable Seated Row,84.0,5,98.0,0,normal,,,first_observation
2026-02-16,squat,2026-02-19,43668c4b-a573-4303-8a10-0eefce782b68,Barbell Squat,110.0,4,124.66666666666666,1,normal,,,first_observation
2026-02-23,bench_press,2026-02-24,ba22d954-c54a-4f91-a5cd-9ce7a253436b,Bench Press (Dumbbell),42.5,3,46.75000000000001,4,normal,43.75,3.000000000000007,up
2026-02-23,deadlift,2026-02-27,6e5d8472-5151-4cb6-a3fa-eb4aeeefa06e,Barbell Deadlift,150.0,1,155.00000000000003,3,normal,124.66666666666666,30.33333333333337,up
2026-02-23,squat,2026-02-24,ba22d954-c54a-4f91-a5cd-9ce7a253436b,Barbell Squat,140.0,3,154.0,4,normal,124.66666666666666,29.333333333333343,up
2026-03-02,bench_press,2026-03-02,2b1ccdac-7dec-45f8-9a38-65ab81914e57,Bench Press (Dumbbell),30.0,8,38.0,1,normal,46.75000000000001,-8.750000000000007,down
2026-03-02,deadlift,2026-03-05,eabbde41-773e-424f-9f5f-dfb56f1862c9,Barbell Deadlift,92.5,8,117.16666666666666,3,normal,155.00000000000003,-37.83333333333337,down
2026-03-02,overhead_press,2026-03-02,2b1ccdac-7dec-45f8-9a38-65ab81914e57,Dumbbell Seated Shoulder Press,20.0,12,28.0,0,normal,37.91666666666667,-9.916666666666671,down
2026-03-02,pull_up,2026-03-05,eabbde41-773e-424f-9f5f-dfb56f1862c9,Cable Lat Pulldown (Wide Grip),64.0,12,89.6,0,normal,98.0,-8.400000000000006,down
2026-03-02,row,2026-03-05,eabbde41-773e-424f-9f5f-dfb56f1862c9,Cable Seated Row,64.0,12,89.6,0,normal,98.0,-8.400000000000006,down
2026-03-02,squat,2026-03-02,2b1ccdac-7dec-45f8-9a38-65ab81914e57,Barbell Squat,90.0,8,114.0,3,normal,154.0,-40.0,down
2026-03-09,bench_press,2026-03-09,51176569-a22b-418c-b6bb-1d6e728b130f,Bench Press (Dumbbell),30.0,8,38.0,2,normal,38.0,0.0,flat
2026-03-09,deadlift,2026-03-12,f2e35773-a60d-4853-81cf-7cae631ccbaf,Barbell Deadlift,102.5,8,129.83333333333331,3,normal,117.16666666666666,12.666666666666657,up
2026-03-09,overhead_press,2026-03-09,51176569-a22b-418c-b6bb-1d6e728b130f,Dumbbell Seated Shoulder Press,22.5,10,30.0,0,normal,28.0,2.0,flat
2026-03-09,pull_up,2026-03-12,f2e35773-a60d-4853-81cf-7cae631ccbaf,Cable Lat Pulldown (Wide Grip),64.0,10,85.33333333333333,0,normal,89.6,-4.266666666666666,down
2026-03-09,row,2026-03-12,f2e35773-a60d-4853-81cf-7cae631ccbaf,Cable Seated Row,64.0,12,89.6,0,normal,89.6,0.0,flat
2026-03-09,squat,2026-03-09,51176569-a22b-418c-b6bb-1d6e728b130f,Barbell Squat,100.0,8,126.66666666666666,3,normal,114.0,12.666666666666657,up
2026-03-16,bench_press,2026-03-16,6c9ae5d5-7d76-48c2-9e3b-b01584b599b4,Bench Press (Barbell),70.0,6,84.0,3,normal,38.0,46.0,up
2026-03-16,deadlift,2026-03-19,d92e268c-83b9-45f4-89d4-0d81c86c3b57,Deadlift (Barbell),110.0,6,132.0,3,normal,129.83333333333331,2.1666666666666856,flat
2026-03-16,overhead_press,2026-03-16,6c9ae5d5-7d76-48c2-9e3b-b01584b599b4,Seated Overhead Press (Dumbbell),22.5,10,30.0,0,normal,30.0,0.0,flat
2026-03-16,pull_up,2026-03-19,d92e268c-83b9-45f4-89d4-0d81c86c3b57,Lat Pulldown (Cable),70.0,8,88.66666666666666,0,normal,85.33333333333333,3.3333333333333286,up
2026-03-16,row,2026-03-19,d92e268c-83b9-45f4-89d4-0d81c86c3b57,Seated Cable Row - Bar Grip,64.0,12,89.6,0,normal,89.6,0.0,flat
2026-03-16,squat,2026-03-16,6c9ae5d5-7d76-48c2-9e3b-b01584b599b4,Squat (Barbell),110.0,6,132.0,3,normal,126.66666666666666,5.333333333333343,up
